,Player,Nation,Pos,Age,90s,performance_CrdY,performance_CrdR,performance_2CrdY,performance_Fls,performance_Fld,performance_Off,performance_Crs,performance_Int,performance_TklW,performance_PKwon,performance_PKcon,performance_OG,performance_Recov,aerial_duels_Won,aerial_duels_Lost,aerial_duels_Won%,Matches,Team,Season
0,David Raya,es ESP,GK,29-236,35.0,2,0,0,1,9,0,0,2,0,0,1,0,38,10,0,100.0,Matches,Arsenal,2024
1,William Saliba,fr FRA,DF,24-046,32.3,2,1,0,28,17,1,3,21,36,0,1,0,146,58,35,62.4,Matches,Arsenal,2024
2,Declan Rice,eng ENG,MF,26-115,29.4,7,1,1,20,16,2,157,25,24,0,0,0,143,31,24,56.4,Matches,Arsenal,2024
3,Thomas Partey,gh GHA,"MF,DF",31-330,28.1,4,0,0,40,28,1,12,33,49,0,0,0,123,26,22,54.2,Matches,Arsenal,2024
4,Gabriel Magalhães,br BRA,DF,27-141,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9,Matches,Arsenal,2024
5,Jurriën Timber,nl NED,DF,23-326,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4,Matches,Arsenal,2024
6,Leandro Trossard,be BEL,FW,30-156,26.2,4,1,1,25,43,6,79,9,17,0,0,0,93,6,22,21.4,Matches,Arsenal,2024
7,Martin Ødegaard,no NOR,MF,26-143,23.7,4,0,0,10,23,1,81,4,11,0,0,0,91,8,7,53.3,Matches,Arsenal,2024
8,Gabriel Martinelli,br BRA,"FW,MF",23-325,22.7,1,0,0,14,20,8,83,4,15,0,0,0,72,15,30,33.3,Matches,Arsenal,2024
9,Kai Havertz,de GER,"FW,MF",25-332,20.4,4,0,0,36,21,14,11,6,9,0,0,0,39,62,73,45.9,Matches,Arsenal,2024
10,Bukayo Saka,eng ENG,"FW,MF",23-246,17.1,3,0,0,14,38,5,110,3,13,1,0,0,65,8,19,29.6,Matches,Arsenal,2024
11,Mikel Merino,es ESP,"MF,FW",28-321,15.8,2,0,0,36,20,7,12,14,22,0,0,0,78,57,52,52.3,Matches,Arsenal,2024
12,Myles Lewis-Skelly,eng ENG,DF,18-225,13.0,2,2,0,10,38,0,8,6,14,0,1,0,45,8,10,44.4,Matches,Arsenal,2024
13,Riccardo Calafiori,it ITA,DF,22-355,10.3,4,0,0,16,6,3,11,9,18,0,0,0,30,22,13,62.9,Matches,Arsenal,2024
14,Ben White,eng ENG,DF,27-213,10.5,2,0,0,8,4,1,10,15,9,0,0,0,26,15,5,75.0,Matches,Arsenal,2024
15,Ethan Nwaneri,eng ENG,"FW,MF",18-049,9.1,1,0,0,8,5,6,51,2,7,0,0,0,33,4,7,36.4,Matches,Arsenal,2024
16,Jorginho,it ITA,MF,33-140,7.8,5,0,0,15,17,0,1,7,4,0,0,0,54,1,6,14.3,Matches,Arsenal,2024
17,Jakub Kiwior,pl POL,DF,25-083,9.5,0,0,0,8,3,1,1,3,7,0,0,0,19,8,7,53.3,Matches,Arsenal,2024
18,Gabriel Jesus,br BRA,FW,28-036,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3,Matches,Arsenal,2024
19,Raheem Sterling,eng ENG,"FW,MF",30-152,4.9,1,0,0,12,4,4,14,1,4,0,0,0,14,1,3,25.0,Matches,Arsenal,2024
20,Oleksandr Zinchenko,ua UKR,"DF,MF",28-145,5.1,1,0,0,8,3,1,10,4,1,0,0,0,16,11,11,50.0,Matches,Arsenal,2024
21,Kieran Tierney,sct SCO,"DF,FW",27-338,2.0,0,0,0,0,2,2,10,2,4,0,0,0,3,3,5,37.5,Matches,Arsenal,2024
22,Nathan Butler-Oyedeji,eng ENG,FW,22-125,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Arsenal,2024
23,Takehiro Tomiyasu,jp JPN,DF,26-185,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Arsenal,2024
24,Reiss Nelson,eng ENG,FW,25-150,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Matches,Arsenal,2024
25,Youri Tielemans,be BEL,MF,28-002,33.3,4,0,0,41,56,0,118,22,57,0,0,0,145,22,18,55.0,Matches,Aston Villa,2024
26,Emiliano Martínez,ar ARG,GK,32-249,33.0,4,0,0,1,5,0,0,0,3,0,0,0,29,8,1,88.9,Matches,Aston Villa,2024
27,Morgan Rogers,eng ENG,"FW,MF",22-287,31.7,9,0,0,46,48,2,22,5,18,1,0,0,108,11,43,20.4,Matches,Aston Villa,2024
28,Ezri Konsa,eng ENG,DF,27-198,29.6,0,0,0,6,42,0,5,21,17,0,0,0,89,31,22,58.5,Matches,Aston Villa,2024
29,Ollie Watkins,eng ENG,FW,29-130,25.9,2,0,0,27,30,13,7,8,6,2,0,0,39,47,62,43.1,Matches,Aston Villa,2024
30,Lucas Digne,fr FRA,DF,31-293,25.1,4,0,0,20,14,7,138,25,37,0,0,0,100,35,27,56.5,Matches,Aston Villa,2024
31,John McGinn,sct SCO,"MF,FW",30-203,22.8,7,0,0,43,67,3,54,14,22,1,0,0,94,16,11,59.3,Matches,Aston Villa,2024
32,Pau Torres,es ESP,DF,28-113,20.2,1,0,0,8,7,0,1,9,14,0,0,0,54,16,26,38.1,Matches,Aston Villa,2024
33,Matty Cash,pl POL,DF,27-275,20.0,6,0,0,25,16,1,33,21,27,0,2,0,64,17,19,47.2,Matches,Aston Villa,2024
34,Jacob Ramsey,eng ENG,"FW,MF",23-346,16.8,2,0,0,12,25,5,10,7,15,1,0,0,77,6,10,37.5,Matches,Aston Villa,2024
35,Boubacar Kamara,fr FRA,MF,25-167,16.3,2,0,0,25,28,0,1,17,20,0,0,0,73,17,23,42.5,Matches,Aston Villa,2024
36,Amadou Onana,be BEL,MF,23-266,15.3,4,0,0,30,24,0,1,24,24,0,0,0,66,27,18,60.0,Matches,Aston Villa,2024
37,Leon Bailey,jm JAM,"FW,MF",27-273,12.6,3,0,0,12,18,3,34,3,4,1,0,0,59,6,9,40.0,Matches,Aston Villa,2024
38,Tyrone Mings,eng ENG,DF,32-057,11.7,1,0,0,3,9,0,1,7,5,0,0,0,33,26,21,55.3,Matches,Aston Villa,2024
39,Ian Maatsen,nl NED,DF,23-060,10.6,2,0,0,9,9,3,48,15,15,0,0,0,61,8,6,57.1,Matches,Aston Villa,2024
40,Diego Carlos,br BRA,DF,32-055,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,Matches,Aston Villa,2024
41,Marco Asensio,es ESP,"MF,FW",29-108,6.0,1,0,0,8,7,2,23,1,5,0,0,0,22,0,1,0.0,Matches,Aston Villa,2024
42,Axel Disasi,fr FRA,DF,27-059,5.4,2,0,0,3,2,2,1,5,5,0,0,0,15,8,6,57.1,Matches,Aston Villa,2024
43,Lamare Bogarde,nl NED,"DF,MF",21-124,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0,Matches,Aston Villa,2024
44,Andrés García,es ESP,"DF,MF",22-091,3.5,0,0,0,1,0,0,18,2,5,0,0,0,15,0,6,0.0,Matches,Aston Villa,2024
45,Jáder Durán,co COL,FW,21-147,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,Matches,Aston Villa,2024
46,Marcus Rashford,eng ENG,FW,27-190,4.9,0,0,0,1,3,1,28,1,7,0,0,0,14,1,8,11.1,Matches,Aston Villa,2024
47,Ross Barkley,eng ENG,MF,31-155,6.3,3,0,0,8,3,0,1,10,3,0,0,0,41,6,4,60.0,Matches,Aston Villa,2024
48,Jaden Philogene Bidace,eng ENG,"FW,MF",23-090,3.7,4,1,1,12,8,1,4,3,5,0,0,0,21,0,5,0.0,Matches,Aston Villa,2024
49,Donyell Malen,nl NED,FW,26-120,3.3,0,0,0,1,4,2,7,0,4,0,0,0,8,4,4,50.0,Matches,Aston Villa,2024
50,Robin Olsen,se SWE,GK,35-121,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,Aston Villa,2024
51,Kosta Nedeljković,rs SRB,DF,19-144,1.4,0,0,0,0,1,0,1,0,5,0,0,0,4,0,1,0.0,Matches,Aston Villa,2024
52,Emi Buendía,ar ARG,"MF,FW",28-135,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,Matches,Aston Villa,2024
53,Milos Kerkez,hu HUN,DF,21-183,34.2,4,0,0,28,45,1,125,42,26,0,0,0,156,25,47,34.7,Matches,Bournemouth,2024
54,Antoine Semenyo,gh GHA,FW,25-122,32.6,9,0,0,66,36,14,52,10,34,1,0,0,150,61,72,45.9,Matches,Bournemouth,2024
55,Illia Zabarnyi,ua UKR,DF,22-250,31.6,3,1,0,18,6,0,5,38,32,0,0,0,143,72,40,64.3,Matches,Bournemouth,2024
56,Lewis Cook,eng ENG,"MF,DF",28-095,31.3,8,0,0,46,10,3,127,40,42,0,1,0,182,40,34,54.1,Matches,Bournemouth,2024
57,Kepa Arrizabalaga,es ESP,GK,30-218,28.0,3,0,0,2,5,0,0,0,0,0,2,0,52,7,1,87.5,Matches,Bournemouth,2024
58,Justin Kluivert,nl NED,"MF,FW",26-004,24.0,8,0,0,42,29,5,80,13,9,1,0,0,73,7,25,21.9,Matches,Bournemouth,2024
59,Ryan Christie,sct SCO,MF,30-076,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,Matches,Bournemouth,2024
60,Evanilson,br BRA,FW,25-215,22.9,1,1,0,33,45,17,0,0,10,5,0,0,59,39,58,40.2,Matches,Bournemouth,2024
