,Player,Nation,Pos,Age,90s,Att,pass_types_Live,pass_types_Dead,pass_types_FK,pass_types_TB,pass_types_Sw,pass_types_Crs,pass_types_TI,pass_types_CK,corner_kicks_In,corner_kicks_Out,corner_kicks_Str,outcomes_Cmp,outcomes_Off,outcomes_Blocks,Matches,Team,Season
0,Pedri,es ESP,MF,22-165,28.6,2368,2238,126,61,23,15,53,15,40,22,1,0,2056,4,38,Matches,Barcelona,2024
1,Jules Koundé,fr FRA,DF,26-178,28.9,2140,1803,332,66,6,13,63,266,0,0,0,0,1856,5,25,Matches,Barcelona,2024
2,Robert Lewandowski,pl POL,FW,36-261,27.1,491,472,15,1,3,6,5,0,0,0,0,0,359,4,19,Matches,Barcelona,2024
3,Raphinha,br BRA,"FW,MF",28-146,27.8,1322,1103,207,44,10,15,195,18,128,41,40,0,929,12,34,Matches,Barcelona,2024
4,Lamine Yamal,es ESP,FW,17-300,27.7,1305,1258,39,4,28,3,90,17,18,5,0,0,970,8,50,Matches,Barcelona,2024
5,Pau Cubarsí,es ESP,DF,18-107,26.0,2442,2364,76,61,4,7,2,5,0,0,0,0,2283,2,6,Matches,Barcelona,2024
6,Iñigo Martínez,es ESP,DF,33-357,25.7,2307,2192,112,90,3,31,6,7,0,0,0,0,2102,3,14,Matches,Barcelona,2024
7,Alejandro Balde,es ESP,DF,21-203,23.1,1321,1138,179,27,2,2,65,152,0,0,0,0,1157,4,27,Matches,Barcelona,2024
8,Marc Casado,es ESP,MF,21-237,17.9,1367,1330,37,34,4,7,9,3,0,0,0,0,1221,0,17,Matches,Barcelona,2024
9,Iñaki Peña,es ESP,GK,26-068,14.5,588,484,104,27,0,0,0,0,0,0,0,0,521,0,0,Matches,Barcelona,2024
10,Wojciech Szczęsny,pl POL,GK,35-021,13.0,400,339,59,14,0,1,0,0,0,0,0,0,356,2,0,Matches,Barcelona,2024
11,Gavi,es ESP,"MF,FW",20-277,9.9,627,608,18,10,1,3,9,5,1,0,0,0,558,1,6,Matches,Barcelona,2024
12,Dani Olmo,es ESP,"MF,FW",27-002,11.4,540,519,19,7,10,6,16,0,6,4,1,0,430,2,18,Matches,Barcelona,2024
13,Ferrán Torres,es ESP,"FW,MF",25-069,11.3,337,311,24,5,2,2,17,1,9,2,0,0,249,2,13,Matches,Barcelona,2024
14,Eric García,es ESP,"MF,DF",24-120,13.7,1049,1014,33,22,2,1,3,10,0,0,0,0,969,2,7,Matches,Barcelona,2024
15,Fermin López,es ESP,"MF,FW",21-363,11.5,545,513,30,4,4,4,35,3,18,8,2,1,452,2,8,Matches,Barcelona,2024
16,Ronald Araújo,uy URU,DF,26-063,7.1,586,563,22,16,0,0,0,5,0,0,0,0,532,1,0,Matches,Barcelona,2024
17,Gerard Martín,es ESP,DF,23-128,9.8,677,581,95,10,1,1,32,85,0,0,0,0,561,1,22,Matches,Barcelona,2024
18,Frenkie de Jong,nl NED,MF,27-362,10.1,907,886,19,17,4,2,5,2,0,0,0,0,856,2,7,Matches,Barcelona,2024
19,Marc-André ter Stegen,de GER,GK,33-009,6.5,228,197,31,11,0,0,0,0,0,0,0,0,211,0,0,Matches,Barcelona,2024
20,Héctor Fort,es ESP,DF,18-280,6.0,455,404,50,3,0,2,11,47,0,0,0,0,410,1,12,Matches,Barcelona,2024
