,Player,Nation,Pos,Age,90s,total_Cmp,total_Att,total_Cmp%,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,expected_xA,expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Team,Season
0,Pedri,es ESP,MF,22-165,28.6,2056,2368,86.8,35015,8845,989,1055,93.7,820,924,88.7,200,285,70.2,4,6.8,8.4,-2.8,62,290,70,4,318,Matches,Barcelona,2024
1,Jules Koundé,fr FRA,DF,26-178,28.9,1856,2140,86.7,28736,8279,946,1020,92.7,788,901,87.5,73,120,60.8,3,3.9,3.8,-0.9,32,154,29,8,165,Matches,Barcelona,2024
2,Robert Lewandowski,pl POL,FW,36-261,27.1,359,491,73.1,4615,898,229,281,81.5,86,112,76.8,13,27,48.1,2,2.3,1.5,-0.3,19,30,9,0,48,Matches,Barcelona,2024
3,Raphinha,br BRA,"FW,MF",28-146,27.8,929,1322,70.3,15859,4590,476,569,83.7,318,424,75.0,107,228,46.9,9,11.8,9.3,-2.8,84,81,63,16,133,Matches,Barcelona,2024
4,Lamine Yamal,es ESP,FW,17-300,27.7,970,1305,74.3,13667,3943,602,701,85.9,280,387,72.4,47,102,46.1,12,12.4,10.1,-0.4,57,69,86,14,142,Matches,Barcelona,2024
5,Pau Cubarsí,es ESP,DF,18-107,26.0,2283,2442,93.5,42926,14908,765,802,95.4,1314,1363,96.4,180,234,76.9,3,1.6,0.9,1.4,9,199,4,1,186,Matches,Barcelona,2024
6,Iñigo Martínez,es ESP,DF,33-357,25.7,2102,2307,91.1,39692,13592,776,819,94.7,1114,1174,94.9,194,266,72.9,4,2.6,1.8,1.4,16,238,9,1,249,Matches,Barcelona,2024
7,Alejandro Balde,es ESP,DF,21-203,23.1,1157,1321,87.6,17172,3626,638,686,93.0,451,497,90.7,39,65,60.0,4,3.4,2.7,0.6,26,47,37,11,86,Matches,Barcelona,2024
8,Marc Casado,es ESP,MF,21-237,17.9,1221,1367,89.3,18725,4279,654,706,92.6,472,500,94.4,62,94,66.0,3,1.4,1.8,1.6,9,138,6,0,107,Matches,Barcelona,2024
9,Iñaki Peña,es ESP,GK,26-068,14.5,521,588,88.6,11685,6528,84,85,98.8,359,362,99.2,76,139,54.7,0,0.0,0.0,0.0,0,0,0,0,3,Matches,Barcelona,2024
10,Wojciech Szczęsny,pl POL,GK,35-021,13.0,356,400,89.0,7863,4831,73,73,100.0,227,230,98.7,54,93,58.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Barcelona,2024
11,Gavi,es ESP,"MF,FW",20-277,9.9,558,627,89.0,8218,2025,302,319,94.7,193,216,89.4,27,34,79.4,1,1.5,1.4,-0.5,13,71,11,1,64,Matches,Barcelona,2024
12,Dani Olmo,es ESP,"MF,FW",27-002,11.4,430,540,79.6,6360,1817,255,285,89.5,123,151,81.5,28,40,70.0,2,2.8,3.4,-0.8,21,37,27,1,69,Matches,Barcelona,2024
13,Ferrán Torres,es ESP,"FW,MF",25-069,11.3,249,337,73.9,3232,754,153,181,84.5,68,87,78.2,11,30,36.7,3,2.0,1.8,1.0,16,17,18,2,35,Matches,Barcelona,2024
14,Eric García,es ESP,"MF,DF",24-120,13.7,969,1049,92.4,16537,5789,393,428,91.8,501,523,95.8,51,62,82.3,2,0.5,1.0,1.5,5,110,10,1,89,Matches,Barcelona,2024
15,Fermin López,es ESP,"MF,FW",21-363,11.5,452,545,82.9,6889,1733,253,282,89.7,140,169,82.8,32,50,64.0,4,2.9,3.7,1.1,22,50,18,6,63,Matches,Barcelona,2024
16,Ronald Araújo,uy URU,DF,26-063,7.1,532,586,90.8,10188,2976,154,169,91.1,323,339,95.3,45,63,71.4,1,0.4,0.2,0.6,4,45,3,0,43,Matches,Barcelona,2024
17,Gerard Martín,es ESP,DF,23-128,9.8,561,677,82.9,8564,2382,299,331,90.3,224,255,87.8,23,45,51.1,3,1.1,1.6,1.9,12,22,15,4,34,Matches,Barcelona,2024
18,Frenkie de Jong,nl NED,MF,27-362,10.1,856,907,94.4,13253,3651,457,464,98.5,324,342,94.7,48,57,84.2,2,1.9,1.8,0.1,18,112,9,0,91,Matches,Barcelona,2024
19,Marc-André ter Stegen,de GER,GK,33-009,6.5,211,228,92.5,5304,3656,22,22,100.0,140,142,98.6,49,64,76.6,0,0.0,0.0,0.0,0,1,1,0,2,Matches,Barcelona,2024
20,Héctor Fort,es ESP,DF,18-280,6.0,410,455,90.1,5717,1272,232,246,94.3,137,151,90.7,13,16,81.3,0,0.8,1.3,-0.8,8,23,3,0,24,Matches,Barcelona,2024
21,Pablo Torre,es ESP,"MF,FW",22-036,3.4,180,220,81.8,2702,678,96,108,88.9,65,73,89.0,11,21,52.4,1,0.8,1.3,0.2,8,13,4,1,17,Matches,Barcelona,2024
22,Marc Bernal,es ESP,MF,17-348,2.7,148,160,92.5,2634,623,66,71,93.0,72,77,93.5,10,11,90.9,0,0.0,0.1,0.0,1,12,0,0,8,Matches,Barcelona,2024
23,Ansu Fati,es ESP,FW,22-190,2.6,104,125,83.2,1100,142,76,83,91.6,18,23,78.3,1,3,33.3,0,0.2,0.4,-0.2,4,3,5,0,6,Matches,Barcelona,2024
24,Pau Victor Delgado,es ESP,FW,23-164,3.3,94,116,81.0,1357,212,53,59,89.8,34,43,79.1,4,5,80.0,1,0.8,0.4,0.2,7,4,3,0,10,Matches,Barcelona,2024
25,Sergi Dominguez,es ESP,DF,20-038,1.9,171,180,95.0,3171,1062,57,57,100.0,106,112,94.6,7,10,70.0,0,0.0,0.0,0.0,0,13,0,0,13,Matches,Barcelona,2024
26,Andreas Christensen,dk DEN,DF,29-029,1.3,102,110,92.7,1541,626,50,53,94.3,48,51,94.1,2,3,66.7,0,0.0,0.0,0.0,0,10,0,0,7,Matches,Barcelona,2024
27,Daniel Rodriguez,es ESP,FW,19-273,0.4,15,20,75.0,202,28,9,11,81.8,6,8,75.0,0,1,0.0,0,0.0,0.0,0.0,0,0,2,0,2,Matches,Barcelona,2024
28,Federico Valverde,uy URU,"MF,DF",26-291,29.7,1760,1965,89.6,30938,9136,838,896,93.5,697,743,93.8,181,237,76.4,4,3.0,2.9,1.0,35,203,28,2,199,Matches,Real Madrid,2024
29,Kylian Mbappé,fr FRA,FW,26-140,28.3,817,988,82.7,11903,2063,488,558,87.5,220,253,87.0,55,69,79.7,3,6.8,6.0,-3.8,43,66,43,2,119,Matches,Real Madrid,2024
30,Thibaut Courtois,be BEL,GK,32-363,28.0,815,976,83.5,19213,12293,156,157,99.4,506,509,99.4,152,308,49.4,0,0.1,0.0,-0.1,1,4,0,0,0,Matches,Real Madrid,2024
31,Aurélien Tchouaméni,fr FRA,"DF,MF",25-102,27.3,1759,1903,92.4,30779,10048,742,776,95.6,870,923,94.3,128,167,76.6,0,0.6,0.9,-0.6,5,162,9,1,150,Matches,Real Madrid,2024
32,Antonio Rüdiger,de GER,DF,32-067,25.5,1706,1858,91.8,32076,10610,644,666,96.7,875,919,95.2,168,239,70.3,0,0.5,0.9,-0.5,7,117,6,1,94,Matches,Real Madrid,2024
33,Jude Bellingham,eng ENG,MF,21-314,24.6,1192,1379,86.4,19084,4131,646,711,90.9,418,471,88.7,99,126,78.6,8,3.7,4.1,4.3,36,117,28,0,180,Matches,Real Madrid,2024
34,Vinicius Júnior,br BRA,FW,24-301,23.7,637,857,74.3,9978,2348,360,433,83.1,189,243,77.8,60,93,64.5,5,6.7,6.3,-1.7,54,51,33,6,81,Matches,Real Madrid,2024
35,Lucas Vázquez,es ESP,DF,33-312,22.4,1333,1530,87.1,20361,4906,715,769,93.0,518,590,87.8,66,102,64.7,5,4.6,3.9,0.4,32,63,26,2,95,Matches,Real Madrid,2024
36,Rodrygo,br BRA,"FW,MF",24-120,21.4,939,1093,85.9,12276,3000,619,652,94.9,234,272,86.0,35,85,41.2,5,3.0,4.2,2.0,49,66,26,2,108,Matches,Real Madrid,2024
37,Fran Garcia,es ESP,DF,25-268,20.3,1118,1284,87.1,16071,4332,687,733,93.7,338,388,87.1,54,91,59.3,2,1.1,1.4,0.9,20,72,17,6,101,Matches,Real Madrid,2024
38,Raúl Asencio,es ESP,DF,22-085,15.9,851,908,93.7,14654,4842,375,390,96.2,412,428,96.3,52,74,70.3,1,0.5,0.4,0.5,5,44,3,0,25,Matches,Real Madrid,2024
39,Brahim Díaz,ma MAR,"FW,MF",25-279,14.3,527,608,86.7,6720,1705,361,397,90.9,134,154,87.0,11,17,64.7,2,2.8,2.0,-0.8,20,51,16,0,66,Matches,Real Madrid,2024
40,Luka Modrić,hr CRO,MF,39-242,16.8,1393,1585,87.9,24536,8093,649,694,93.5,548,592,92.6,156,235,66.4,4,5.9,5.5,-1.9,54,183,26,1,161,Matches,Real Madrid,2024
41,Ferland Mendy,fr FRA,DF,29-335,11.2,630,671,93.9,9091,2431,387,399,97.0,199,212,93.9,32,38,84.2,1,0.5,0.7,0.5,3,44,1,0,36,Matches,Real Madrid,2024
