,Player,Nation,Pos,Age,MP,playing_time_Min,playing_time_Mn/MP,playing_time_Min%,playing_time_90s,starts_Starts,starts_Mn/Start,starts_Compl,subs_Subs,subs_Mn/Sub,subs_unSub,team_success_PPM,team_success_onG,team_success_onGA,team_success_+/-,team_success_+/-90,team_success_On-Off,team_success_(xg)_onxG,team_success_(xg)_onxGA,team_success_(xg)_xG+/-,team_success_(xg)_xG+/-90,team_success_(xg)_On-Off,Matches,Team,Season,playing_time_MP
0,Pedri,es ESP,MF,22-165,33.0,2574.0,78.0,84.1,28.6,31,82.0,13,2,21.0,0,2.3,67.0,26.0,41.0,1.43,-1.71,62.1,28.7,33.4,1.17,-1.33,Matches,Barcelona,2024,
1,Jules Koundé,fr FRA,DF,26-178,32.0,2605.0,81.0,85.1,28.9,29,88.0,25,3,21.0,1,2.28,77.0,30.0,47.0,1.62,-0.55,68.6,31.3,37.3,1.29,-0.62,Matches,Barcelona,2024,
2,Robert Lewandowski,pl POL,FW,36-261,31.0,2442.0,79.0,79.8,27.1,29,82.0,15,2,27.0,1,2.26,68.0,25.0,43.0,1.58,-0.6,59.0,27.7,31.3,1.15,-1.12,Matches,Barcelona,2024,
3,Raphinha,br BRA,"FW,MF",28-146,32.0,2506.0,78.0,81.9,27.8,28,85.0,20,4,35.0,1,2.28,75.0,25.0,50.0,1.8,0.5,66.6,29.3,37.3,1.34,-0.22,Matches,Barcelona,2024,
4,Lamine Yamal,es ESP,FW,17-300,31.0,2496.0,81.0,81.6,27.7,27,86.0,16,4,41.0,0,2.52,81.0,22.0,59.0,2.13,2.29,70.9,24.2,46.7,1.68,1.64,Matches,Barcelona,2024,
5,Pau Cubarsí,es ESP,DF,18-107,31.0,2342.0,76.0,76.5,26.0,26,85.0,18,5,28.0,3,2.26,70.0,27.0,43.0,1.65,-0.23,59.1,28.0,31.1,1.19,-0.79,Matches,Barcelona,2024,
6,Iñigo Martínez,es ESP,DF,33-357,26.0,2310.0,89.0,75.5,25.7,26,89.0,23,0,,5,2.38,69.0,25.0,44.0,1.71,0.03,64.6,28.3,36.4,1.42,0.15,Matches,Barcelona,2024,
7,Alejandro Balde,es ESP,DF,21-203,28.0,2080.0,74.0,68.0,23.1,25,81.0,13,3,19.0,3,2.25,62.0,19.0,43.0,1.86,0.48,56.5,22.5,34.0,1.47,0.29,Matches,Barcelona,2024,
8,Marc Casado,es ESP,MF,21-237,23.0,1611.0,70.0,52.6,17.9,20,78.0,10,3,19.0,3,2.22,49.0,14.0,35.0,1.96,0.53,43.9,19.2,24.7,1.38,0.0,Matches,Barcelona,2024,
9,Iñaki Peña,es ESP,GK,26-068,15.0,1306.0,87.0,42.7,14.5,14,90.0,14,1,46.0,19,1.6,33.0,18.0,15.0,1.03,-1.17,34.9,19.1,15.8,1.09,-0.51,Matches,Barcelona,2024,
10,Wojciech Szczęsny,pl POL,GK,35-021,13.0,1170.0,90.0,38.2,13.0,13,90.0,13,0,,12,2.85,37.0,9.0,28.0,2.15,0.73,30.0,9.5,20.5,1.58,0.32,Matches,Barcelona,2024,
11,Gavi,es ESP,"MF,FW",20-277,22.0,895.0,41.0,29.2,9.9,12,66.0,3,10,11.0,3,2.09,20.0,9.0,11.0,1.11,-0.85,23.6,7.5,16.1,1.62,0.34,Matches,Barcelona,2024,
12,Dani Olmo,es ESP,"MF,FW",27-002,21.0,1027.0,49.0,33.6,11.4,11,64.0,0,10,32.0,2,2.29,34.0,7.0,27.0,2.37,0.99,31.5,12.5,19.0,1.66,0.43,Matches,Barcelona,2024,
13,Ferrán Torres,es ESP,"FW,MF",25-069,26.0,1018.0,39.0,33.3,11.3,11,62.0,2,15,22.0,2,2.31,31.0,18.0,13.0,1.15,-0.83,27.2,13.6,13.7,1.21,-0.26,Matches,Barcelona,2024,
