,Player,Nation,Pos,Age,90s,standard_Gls,standard_Sh,standard_SoT,standard_SoT%,standard_Sh/90,standard_SoT/90,standard_G/Sh,standard_G/SoT,standard_Dist,standard_FK,standard_PK,standard_PKatt,expected_xG,expected_npxG,expected_npxG/Sh,expected_G-xG,expected_np:G-xG,Matches,Team,Season
0,Pedri,es ESP,MF,22-165,28.6,4,24,11,45.8,0.84,0.38,0.17,0.36,19.3,0,0,0,2.2,2.2,0.09,1.8,1.8,Matches,Barcelona,2024
1,Jules Koundé,fr FRA,DF,26-178,28.9,2,18,6,33.3,0.62,0.21,0.11,0.33,14.1,0,0,0,1.8,1.8,0.11,0.2,0.2,Matches,Barcelona,2024
2,Robert Lewandowski,pl POL,FW,36-261,27.1,25,103,42,40.8,3.8,1.55,0.21,0.52,13.5,5,3,4,24.4,21.3,0.21,0.6,0.7,Matches,Barcelona,2024
3,Raphinha,br BRA,"FW,MF",28-146,27.8,16,99,37,37.4,3.56,1.33,0.14,0.38,19.1,17,2,2,16.7,15.1,0.15,-0.7,-1.1,Matches,Barcelona,2024
4,Lamine Yamal,es ESP,FW,17-300,27.7,6,119,34,28.6,4.29,1.23,0.05,0.18,19.0,0,0,0,8.7,8.7,0.07,-2.7,-2.7,Matches,Barcelona,2024
5,Pau Cubarsí,es ESP,DF,18-107,26.0,0,7,0,0.0,0.27,0.0,0.0,,8.4,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches,Barcelona,2024
6,Iñigo Martínez,es ESP,DF,33-357,25.7,0,12,2,16.7,0.47,0.08,0.0,0.0,13.7,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,Barcelona,2024
7,Alejandro Balde,es ESP,DF,21-203,23.1,0,12,3,25.0,0.52,0.13,0.0,0.0,22.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,Barcelona,2024
8,Marc Casado,es ESP,MF,21-237,17.9,1,14,1,7.1,0.78,0.06,0.07,1.0,22.4,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches,Barcelona,2024
9,Iñaki Peña,es ESP,GK,26-068,14.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Barcelona,2024
10,Wojciech Szczęsny,pl POL,GK,35-021,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Barcelona,2024
11,Gavi,es ESP,"MF,FW",20-277,9.9,1,9,1,11.1,0.91,0.1,0.11,1.0,14.5,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches,Barcelona,2024
12,Dani Olmo,es ESP,"MF,FW",27-002,11.4,9,38,15,39.5,3.33,1.31,0.21,0.53,17.6,1,1,1,5.6,4.8,0.13,3.4,3.2,Matches,Barcelona,2024
13,Ferrán Torres,es ESP,"FW,MF",25-069,11.3,10,44,22,50.0,3.89,1.94,0.23,0.45,14.8,2,0,0,7.1,7.1,0.16,2.9,2.9,Matches,Barcelona,2024
14,Eric García,es ESP,"MF,DF",24-120,13.7,1,12,6,50.0,0.87,0.44,0.08,0.17,10.8,0,0,0,1.8,1.8,0.15,-0.8,-0.8,Matches,Barcelona,2024
15,Fermin López,es ESP,"MF,FW",21-363,11.5,4,33,11,33.3,2.88,0.96,0.12,0.36,18.0,0,0,0,4.8,4.8,0.15,-0.8,-0.8,Matches,Barcelona,2024
16,Ronald Araújo,uy URU,DF,26-063,7.1,1,4,2,50.0,0.56,0.28,0.25,0.5,11.8,0,0,0,1.0,1.0,0.24,0.0,0.0,Matches,Barcelona,2024
17,Gerard Martín,es ESP,DF,23-128,9.8,1,5,1,20.0,0.51,0.1,0.2,1.0,14.6,0,0,0,0.4,0.4,0.08,0.6,0.6,Matches,Barcelona,2024
