,Player,Nation,Pos,Age,90s,tackles_Tkl,tackles_TklW,tackles_Def 3rd,tackles_Mid 3rd,tackles_Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,blocks_Blocks,blocks_Sh,blocks_Pass,Int,Tkl+Int,Clr,Err,Matches,Team,Season
0,Pedri,es ESP,MF,22-165,28.6,55,30,13,33,9,22,62,35.5,40,40,3,37,26,81,21,1,Matches,Barcelona,2024
1,Jules Koundé,fr FRA,DF,26-178,28.9,63,43,29,23,11,44,66,66.7,22,35,5,30,20,83,68,2,Matches,Barcelona,2024
2,Robert Lewandowski,pl POL,FW,36-261,27.1,9,4,1,5,3,4,10,40.0,6,14,2,12,3,12,24,0,Matches,Barcelona,2024
3,Raphinha,br BRA,"FW,MF",28-146,27.8,35,21,6,18,11,19,35,54.3,16,26,2,24,8,43,24,0,Matches,Barcelona,2024
4,Lamine Yamal,es ESP,FW,17-300,27.7,39,26,5,17,17,15,34,44.1,19,12,0,12,13,52,3,0,Matches,Barcelona,2024
5,Pau Cubarsí,es ESP,DF,18-107,26.0,28,18,18,7,3,16,25,64.0,9,10,8,2,13,41,75,1,Matches,Barcelona,2024
6,Iñigo Martínez,es ESP,DF,33-357,25.7,23,13,18,5,0,15,21,71.4,6,18,7,11,18,41,104,1,Matches,Barcelona,2024
7,Alejandro Balde,es ESP,DF,21-203,23.1,16,10,9,4,3,9,14,64.3,5,23,4,19,5,21,25,0,Matches,Barcelona,2024
8,Marc Casado,es ESP,MF,21-237,17.9,44,25,7,30,7,20,41,48.8,21,20,5,15,22,66,22,1,Matches,Barcelona,2024
9,Iñaki Peña,es ESP,GK,26-068,14.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,20,1,Matches,Barcelona,2024
10,Wojciech Szczęsny,pl POL,GK,35-021,13.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,14,1,Matches,Barcelona,2024
11,Gavi,es ESP,"MF,FW",20-277,9.9,19,15,4,11,4,10,18,55.6,8,13,1,12,10,29,5,0,Matches,Barcelona,2024
12,Dani Olmo,es ESP,"MF,FW",27-002,11.4,14,9,8,4,2,3,11,27.3,8,6,3,3,3,17,10,1,Matches,Barcelona,2024
13,Ferrán Torres,es ESP,"FW,MF",25-069,11.3,7,4,2,2,3,3,8,37.5,5,7,1,6,4,11,5,0,Matches,Barcelona,2024
14,Eric García,es ESP,"MF,DF",24-120,13.7,28,16,7,19,2,14,20,70.0,6,20,7,13,10,38,36,0,Matches,Barcelona,2024
15,Fermin López,es ESP,"MF,FW",21-363,11.5,18,14,3,8,7,7,25,28.0,18,8,0,8,4,22,3,0,Matches,Barcelona,2024
16,Ronald Araújo,uy URU,DF,26-063,7.1,12,9,6,5,1,4,4,100.0,0,6,4,2,8,20,19,0,Matches,Barcelona,2024
17,Gerard Martín,es ESP,DF,23-128,9.8,20,9,8,7,5,10,15,66.7,5,15,2,13,8,28,25,0,Matches,Barcelona,2024
18,Frenkie de Jong,nl NED,MF,27-362,10.1,15,9,4,5,6,7,14,50.0,7,6,0,6,5,20,6,1,Matches,Barcelona,2024
19,Marc-André ter Stegen,de GER,GK,33-009,6.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,2,Matches,Barcelona,2024
20,Héctor Fort,es ESP,DF,18-280,6.0,13,8,6,4,3,10,15,66.7,5,11,0,11,6,19,15,0,Matches,Barcelona,2024
21,Pablo Torre,es ESP,"MF,FW",22-036,3.4,5,4,1,3,1,2,4,50.0,2,0,0,0,3,8,5,1,Matches,Barcelona,2024
22,Marc Bernal,es ESP,MF,17-348,2.7,8,6,2,5,1,7,8,87.5,1,5,1,4,1,9,4,0,Matches,Barcelona,2024
23,Ansu Fati,es ESP,FW,22-190,2.6,4,1,0,2,2,1,2,50.0,1,1,0,1,1,5,0,1,Matches,Barcelona,2024
24,Pau Victor Delgado,es ESP,FW,23-164,3.3,2,1,0,1,1,0,3,0.0,3,6,1,5,2,4,5,0,Matches,Barcelona,2024
25,Sergi Dominguez,es ESP,DF,20-038,1.9,1,1,1,0,0,0,0,,0,0,0,0,3,4,7,0,Matches,Barcelona,2024
26,Andreas Christensen,dk DEN,DF,29-029,1.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches,Barcelona,2024
27,Daniel Rodriguez,es ESP,FW,19-273,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,Barcelona,2024
28,Federico Valverde,uy URU,"MF,DF",26-291,29.7,42,26,17,20,5,24,35,68.6,11,35,6,29,51,93,48,1,Matches,Real Madrid,2024
29,Kylian Mbappé,fr FRA,FW,26-140,28.3,8,5,1,3,4,1,5,20.0,4,3,0,3,1,9,1,0,Matches,Real Madrid,2024
30,Thibaut Courtois,be BEL,GK,32-363,28.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,1,Matches,Real Madrid,2024
31,Aurélien Tchouaméni,fr FRA,"DF,MF",25-102,27.3,41,20,21,18,2,19,38,50.0,19,31,22,9,43,84,80,1,Matches,Real Madrid,2024
32,Antonio Rüdiger,de GER,DF,32-067,25.5,20,13,14,6,0,11,15,73.3,4,22,14,8,9,29,96,1,Matches,Real Madrid,2024
33,Jude Bellingham,eng ENG,MF,21-314,24.6,55,31,16,25,14,26,39,66.7,13,32,2,30,25,80,19,1,Matches,Real Madrid,2024
34,Vinicius Júnior,br BRA,FW,24-301,23.7,20,10,7,4,9,4,17,23.5,13,6,0,6,3,23,1,2,Matches,Real Madrid,2024
35,Lucas Vázquez,es ESP,DF,33-312,22.4,51,32,30,14,7,25,46,54.3,21,22,5,17,17,68,31,0,Matches,Real Madrid,2024
36,Rodrygo,br BRA,"FW,MF",24-120,21.4,21,14,14,5,2,7,23,30.4,16,18,1,17,11,32,9,0,Matches,Real Madrid,2024
37,Fran Garcia,es ESP,DF,25-268,20.3,38,26,22,12,4,19,33,57.6,14,22,4,18,23,61,62,1,Matches,Real Madrid,2024
38,Raúl Asencio,es ESP,DF,22-085,15.9,19,13,16,3,0,9,12,75.0,3,6,4,2,12,31,77,2,Matches,Real Madrid,2024
39,Brahim Díaz,ma MAR,"FW,MF",25-279,14.3,24,18,9,12,3,7,18,38.9,11,16,1,15,4,28,1,1,Matches,Real Madrid,2024
40,Luka Modrić,hr CRO,MF,39-242,16.8,28,18,16,11,1,14,31,45.2,17,14,5,9,23,51,16,0,Matches,Real Madrid,2024
41,Ferland Mendy,fr FRA,DF,29-335,11.2,17,14,7,6,4,9,12,75.0,3,11,4,7,9,26,8,1,Matches,Real Madrid,2024
42,Dani Ceballos,es ESP,MF,28-275,10.8,35,19,15,15,5,16,27,59.3,11,15,3,12,13,48,9,1,Matches,Real Madrid,2024
43,Eduardo Camavinga,fr FRA,"MF,DF",22-180,12.2,42,26,23,16,3,19,33,57.6,14,24,8,16,18,60,23,0,Matches,Real Madrid,2024
44,Éder Militão,br BRA,DF,27-111,10.4,19,17,14,5,0,7,12,58.3,5,13,8,5,12,31,35,0,Matches,Real Madrid,2024
45,Arda Güler,tr TUR,"MF,FW",20-073,10.5,22,11,8,6,8,7,18,38.9,11,14,0,14,5,27,8,0,Matches,Real Madrid,2024
46,Dani Carvajal,es ESP,DF,33-118,6.8,12,8,7,3,2,9,12,75.0,3,8,3,5,10,22,19,1,Matches,Real Madrid,2024
47,Andriy Lunin,ua UKR,GK,26-087,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,Real Madrid,2024
48,David Alaba,at AUT,DF,32-319,3.5,1,0,1,0,0,0,0,,0,5,5,0,6,7,7,0,Matches,Real Madrid,2024
49,Endrick,br BRA,FW,18-292,2.5,1,1,1,0,0,1,3,33.3,2,0,0,0,3,4,1,0,Matches,Real Madrid,2024
50,Fran,es ESP,GK,19-319,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,Real Madrid,2024
51,Jacobo Ramón,es ESP,DF,20-123,0.3,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches,Real Madrid,2024
52,Jesús Vallejo,es ESP,DF,28-124,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,Real Madrid,2024
53,Chema,es ESP,MF,20-014,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,Real Madrid,2024
54,Lorenzo Aguado,es ESP,DF,22-232,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,Real Madrid,2024
55,Daniel Yáñez,es ESP,FW,18-042,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Real Madrid,2024
56,Jan Oblak,si SVN,GK,32-122,33.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15,2,Matches,Atletico Madrid,2024
