,Player,Nation,Pos,Age,90s,sca_SCA,sca_SCA90,sca_types_PassLive,sca_types_PassDead,sca_types_TO,sca_types_Sh,sca_types_Fld,sca_types_Def,gca_GCA,gca_GCA90,gca_types_PassLive,gca_types_PassDead,gca_types_TO,gca_types_Sh,gca_types_Fld,gca_types_Def,Matches,Team,Season
0,Pedri,es ESP,MF,22-165,28.6,142,4.97,130,4,1,2,4,1,12,0.42,12,0,0,0,0,0,Matches,Barcelona,2024
1,Jules Koundé,fr FRA,DF,26-178,28.9,59,2.04,55,0,2,2,0,0,7,0.24,6,0,0,1,0,0,Matches,Barcelona,2024
2,Robert Lewandowski,pl POL,FW,36-261,27.1,48,1.77,33,0,4,7,4,0,3,0.11,2,0,0,1,0,0,Matches,Barcelona,2024
3,Raphinha,br BRA,"FW,MF",28-146,27.8,151,5.42,91,30,8,12,9,1,22,0.79,11,2,4,2,2,1,Matches,Barcelona,2024
4,Lamine Yamal,es ESP,FW,17-300,27.7,163,5.88,101,3,33,14,10,2,26,0.94,18,0,4,2,2,0,Matches,Barcelona,2024
5,Pau Cubarsí,es ESP,DF,18-107,26.0,33,1.27,32,0,0,1,0,0,6,0.23,5,0,0,1,0,0,Matches,Barcelona,2024
6,Iñigo Martínez,es ESP,DF,33-357,25.7,42,1.64,35,1,1,3,2,0,9,0.35,6,1,1,0,1,0,Matches,Barcelona,2024
7,Alejandro Balde,es ESP,DF,21-203,23.1,73,3.16,57,3,3,3,7,0,12,0.52,10,0,0,0,2,0,Matches,Barcelona,2024
8,Marc Casado,es ESP,MF,21-237,17.9,45,2.51,40,0,0,1,2,2,6,0.34,6,0,0,0,0,0,Matches,Barcelona,2024
9,Iñaki Peña,es ESP,GK,26-068,14.5,1,0.07,1,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches,Barcelona,2024
10,Wojciech Szczęsny,pl POL,GK,35-021,13.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Barcelona,2024
11,Gavi,es ESP,"MF,FW",20-277,9.9,36,3.62,34,0,1,1,0,0,4,0.4,4,0,0,0,0,0,Matches,Barcelona,2024
12,Dani Olmo,es ESP,"MF,FW",27-002,11.4,51,4.46,35,0,7,5,4,0,9,0.79,2,0,3,1,3,0,Matches,Barcelona,2024
13,Ferrán Torres,es ESP,"FW,MF",25-069,11.3,33,2.92,23,2,4,1,2,1,4,0.35,3,0,1,0,0,0,Matches,Barcelona,2024
14,Eric García,es ESP,"MF,DF",24-120,13.7,25,1.82,22,0,0,3,0,0,5,0.36,4,0,0,1,0,0,Matches,Barcelona,2024
15,Fermin López,es ESP,"MF,FW",21-363,11.5,45,3.93,29,4,6,3,1,2,5,0.44,5,0,0,0,0,0,Matches,Barcelona,2024
16,Ronald Araújo,uy URU,DF,26-063,7.1,10,1.4,9,0,0,1,0,0,1,0.14,0,0,0,1,0,0,Matches,Barcelona,2024
17,Gerard Martín,es ESP,DF,23-128,9.8,26,2.66,25,0,0,0,1,0,3,0.31,3,0,0,0,0,0,Matches,Barcelona,2024
18,Frenkie de Jong,nl NED,MF,27-362,10.1,35,3.47,31,0,2,1,0,1,11,1.09,9,0,2,0,0,0,Matches,Barcelona,2024
19,Marc-André ter Stegen,de GER,GK,33-009,6.5,1,0.15,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Barcelona,2024
20,Héctor Fort,es ESP,DF,18-280,6.0,14,2.33,13,1,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches,Barcelona,2024
21,Pablo Torre,es ESP,"MF,FW",22-036,3.4,18,5.24,14,2,0,0,1,1,3,0.87,3,0,0,0,0,0,Matches,Barcelona,2024
22,Marc Bernal,es ESP,MF,17-348,2.7,1,0.37,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Barcelona,2024
23,Ansu Fati,es ESP,FW,22-190,2.6,11,4.25,9,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches,Barcelona,2024
24,Pau Victor Delgado,es ESP,FW,23-164,3.3,12,3.58,10,0,1,0,1,0,2,0.6,1,0,0,0,1,0,Matches,Barcelona,2024
25,Sergi Dominguez,es ESP,DF,20-038,1.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Barcelona,2024
26,Andreas Christensen,dk DEN,DF,29-029,1.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Barcelona,2024
27,Daniel Rodriguez,es ESP,FW,19-273,0.4,2,4.86,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Barcelona,2024
28,Federico Valverde,uy URU,"MF,DF",26-291,29.7,75,2.53,71,1,0,3,0,0,13,0.44,12,0,0,1,0,0,Matches,Real Madrid,2024
29,Kylian Mbappé,fr FRA,FW,26-140,28.3,110,3.89,69,1,22,12,6,0,11,0.39,7,1,1,2,0,0,Matches,Real Madrid,2024
30,Thibaut Courtois,be BEL,GK,32-363,28.0,4,0.14,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Madrid,2024
31,Aurélien Tchouaméni,fr FRA,"DF,MF",25-102,27.3,33,1.21,32,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Madrid,2024
32,Antonio Rüdiger,de GER,DF,32-067,25.5,28,1.1,19,0,0,6,3,0,2,0.08,1,0,0,0,1,0,Matches,Real Madrid,2024
33,Jude Bellingham,eng ENG,MF,21-314,24.6,91,3.69,73,1,4,7,3,3,12,0.49,10,0,0,1,1,0,Matches,Real Madrid,2024
34,Vinicius Júnior,br BRA,FW,24-301,23.7,131,5.54,76,1,29,11,11,3,15,0.63,8,0,5,0,2,0,Matches,Real Madrid,2024
35,Lucas Vázquez,es ESP,DF,33-312,22.4,63,2.81,52,5,1,2,2,1,8,0.36,8,0,0,0,0,0,Matches,Real Madrid,2024
36,Rodrygo,br BRA,"FW,MF",24-120,21.4,106,4.95,66,18,13,3,5,1,9,0.42,7,0,1,0,1,0,Matches,Real Madrid,2024
37,Fran Garcia,es ESP,DF,25-268,20.3,41,2.02,36,0,1,3,0,1,2,0.1,2,0,0,0,0,0,Matches,Real Madrid,2024
38,Raúl Asencio,es ESP,DF,22-085,15.9,11,0.69,10,0,1,0,0,0,1,0.06,1,0,0,0,0,0,Matches,Real Madrid,2024
39,Brahim Díaz,ma MAR,"FW,MF",25-279,14.3,51,3.57,39,0,5,5,1,1,12,0.84,7,0,1,3,0,1,Matches,Real Madrid,2024
40,Luka Modrić,hr CRO,MF,39-242,16.8,96,5.7,63,30,0,2,0,1,12,0.71,9,3,0,0,0,0,Matches,Real Madrid,2024
41,Ferland Mendy,fr FRA,DF,29-335,11.2,5,0.45,4,0,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches,Real Madrid,2024
42,Dani Ceballos,es ESP,MF,28-275,10.8,44,4.06,38,4,1,0,1,0,5,0.46,4,1,0,0,0,0,Matches,Real Madrid,2024
43,Eduardo Camavinga,fr FRA,"MF,DF",22-180,12.2,31,2.54,25,1,2,0,3,0,2,0.16,2,0,0,0,0,0,Matches,Real Madrid,2024
44,Éder Militão,br BRA,DF,27-111,10.4,12,1.15,9,0,0,2,0,1,1,0.1,1,0,0,0,0,0,Matches,Real Madrid,2024
45,Arda Güler,tr TUR,"MF,FW",20-073,10.5,55,5.22,35,9,5,4,1,1,10,0.95,4,2,1,2,1,0,Matches,Real Madrid,2024
46,Dani Carvajal,es ESP,DF,33-118,6.8,12,1.77,10,2,0,0,0,0,2,0.3,1,1,0,0,0,0,Matches,Real Madrid,2024
47,Andriy Lunin,ua UKR,GK,26-087,5.0,1,0.2,1,0,0,0,0,0,1,0.2,1,0,0,0,0,0,Matches,Real Madrid,2024
48,David Alaba,at AUT,DF,32-319,3.5,2,0.57,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Madrid,2024
49,Endrick,br BRA,FW,18-292,2.5,6,2.35,4,0,1,0,1,0,2,0.78,0,0,1,0,1,0,Matches,Real Madrid,2024
50,Fran,es ESP,GK,19-319,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Madrid,2024
51,Jacobo Ramón,es ESP,DF,20-123,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Madrid,2024
52,Jesús Vallejo,es ESP,DF,28-124,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Madrid,2024
53,Chema,es ESP,MF,20-014,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Madrid,2024
54,Lorenzo Aguado,es ESP,DF,22-232,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Madrid,2024
55,Daniel Yáñez,es ESP,FW,18-042,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Real Madrid,2024
56,Jan Oblak,si SVN,GK,32-122,33.0,6,0.18,4,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,Atletico Madrid,2024
57,Antoine Griezmann,fr FRA,"FW,MF",34-049,26.0,88,3.39,65,15,0,5,2,1,12,0.46,11,0,0,1,0,0,Matches,Atletico Madrid,2024
58,Julián Álvarez,ar ARG,FW,25-098,25.2,88,3.49,63,5,8,8,1,3,9,0.36,6,0,0,2,0,1,Matches,Atletico Madrid,2024
59,Pablo Barrios,es ESP,MF,21-328,24.6,62,2.52,54,1,1,3,1,2,9,0.37,9,0,0,0,0,0,Matches,Atletico Madrid,2024
60,Marcos Llorente,es ESP,"DF,MF",30-099,23.9,48,2.01,43,2,1,1,1,0,11,0.46,10,0,0,0,1,0,Matches,Atletico Madrid,2024
61,Giuliano Simeone,ar ARG,MF,22-142,19.0,43,2.27,34,0,4,2,3,0,8,0.42,6,0,1,0,1,0,Matches,Atletico Madrid,2024
62,Robin Le Normand,es ESP,DF,28-179,20.9,7,0.33,4,0,0,3,0,0,1,0.05,0,0,0,1,0,0,Matches,Atletico Madrid,2024
63,Clément Lenglet,fr FRA,DF,29-326,19.9,14,0.7,13,0,1,0,0,0,2,0.1,2,0,0,0,0,0,Matches,Atletico Madrid,2024
64,Rodrigo De Paul,ar ARG,MF,30-350,20.0,75,3.75,68,3,0,2,1,1,10,0.5,10,0,0,0,0,0,Matches,Atletico Madrid,2024
65,Conor Gallagher,eng ENG,MF,25-092,17.2,29,1.68,22,0,4,0,3,0,6,0.35,4,0,1,0,1,0,Matches,Atletico Madrid,2024
66,José María Giménez,uy URU,DF,30-109,20.2,5,0.25,5,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,Atletico Madrid,2024
67,Javi Galán,es ESP,DF,30-171,17.3,29,1.67,26,1,1,0,1,0,5,0.29,5,0,0,0,0,0,Matches,Atletico Madrid,2024
68,Samuel Lino,br BRA,"MF,DF",25-137,14.4,40,2.78,32,0,1,4,3,0,3,0.21,1,0,0,1,1,0,Matches,Atletico Madrid,2024
69,Koke,es ESP,MF,33-121,17.9,42,2.34,40,1,0,0,0,1,4,0.22,4,0,0,0,0,0,Matches,Atletico Madrid,2024
70,Nahuel Molina,ar ARG,DF,27-033,16.0,39,2.43,29,5,3,1,0,1,5,0.31,5,0,0,0,0,0,Matches,Atletico Madrid,2024
71,Alexander Sørloth,no NOR,FW,29-155,14.8,26,1.76,15,0,4,5,2,0,5,0.34,2,0,2,1,0,0,Matches,Atletico Madrid,2024
72,Reinildo Mandava,mz MOZ,DF,31-108,10.5,7,0.67,6,0,0,0,0,1,1,0.1,0,0,0,0,0,1,Matches,Atletico Madrid,2024
73,César Azpilicueta,es ESP,DF,35-254,8.2,6,0.73,4,1,0,0,0,1,1,0.12,1,0,0,0,0,0,Matches,Atletico Madrid,2024
74,Axel Witsel,be BEL,DF,36-117,8.5,3,0.36,2,0,1,0,0,0,2,0.24,1,0,1,0,0,0,Matches,Atletico Madrid,2024
75,Rodrigo Riquelme,es ESP,"MF,DF",25-037,5.7,29,5.05,27,1,1,0,0,0,1,0.17,1,0,0,0,0,0,Matches,Atletico Madrid,2024
76,Ángel Correa,ar ARG,"FW,MF",30-061,8.1,27,3.34,15,1,3,4,2,2,3,0.37,2,0,1,0,0,0,Matches,Atletico Madrid,2024
77,Juan Musso,ar ARG,GK,31-003,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Atletico Madrid,2024
78,Thomas Lemar,fr FRA,MF,29-178,0.7,3,4.35,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Atletico Madrid,2024
79,Adrian Niño,es ESP,FW,20-324,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Atletico Madrid,2024
80,Iñaki Williams,gh GHA,FW,30-328,29.0,79,2.72,60,1,6,7,3,2,14,0.48,10,0,3,1,0,0,Matches,Athletic Club,2024
81,Daniel Vivian,es ESP,DF,25-298,25.7,33,1.29,31,0,1,0,0,1,1,0.04,1,0,0,0,0,0,Matches,Athletic Club,2024
82,Álex Berenguer,es ESP,"FW,MF",29-309,23.0,90,3.91,58,18,8,2,2,2,14,0.61,6,4,2,1,1,0,Matches,Athletic Club,2024
83,Mikel Jauregizar,es ESP,MF,21-178,21.8,67,3.07,50,6,1,4,3,3,8,0.37,6,0,0,0,2,0,Matches,Athletic Club,2024
84,Nico Williams,es ESP,FW,22-301,21.3,109,5.12,64,13,21,3,5,3,13,0.61,9,2,1,0,1,0,Matches,Athletic Club,2024
85,Beñat Prados,es ESP,MF,24-090,17.9,19,1.06,18,0,0,1,0,0,3,0.17,3,0,0,0,0,0,Matches,Athletic Club,2024
86,Gorka Guruzeta,es ESP,FW,28-239,18.1,25,1.38,19,1,0,4,0,1,1,0.06,1,0,0,0,0,0,Matches,Athletic Club,2024
87,Aitor Paredes,es ESP,DF,25-010,18.1,8,0.44,8,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,Athletic Club,2024
88,Yuri Berchiche,es ESP,DF,35-088,18.7,35,1.87,30,2,0,1,0,2,2,0.11,2,0,0,0,0,0,Matches,Athletic Club,2024
89,Yeray Álvarez,es ESP,DF,30-105,17.8,17,0.96,14,0,0,0,0,3,1,0.06,1,0,0,0,0,0,Matches,Athletic Club,2024
90,Oihan Sancet,es ESP,MF,25-014,16.3,42,2.57,32,0,4,4,2,0,7,0.43,4,0,1,2,0,0,Matches,Athletic Club,2024
91,Unai Simón,es ESP,GK,27-332,17.0,5,0.29,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Athletic Club,2024
92,Andoni Gorosabel,es ESP,DF,28-278,15.6,30,1.93,28,1,1,0,0,0,2,0.13,2,0,0,0,0,0,Matches,Athletic Club,2024
93,Óscar de Marcos,es ESP,DF,36-025,15.3,42,2.74,38,3,0,0,1,0,8,0.52,8,0,0,0,0,0,Matches,Athletic Club,2024
