,Player,Nation,Pos,Age,90s,goals_GA,goals_PKA,goals_FK,goals_CK,goals_OG,expected_PSxG,expected_PSxG/SoT,expected_PSxG+/-,expected_/90,launched_Cmp,launched_Att,launched_Cmp%,passes_Att (GK),passes_Thr,passes_Launch%,passes_AvgLen,goal_kicks_Att,goal_kicks_Launch%,goal_kicks_AvgLen,crosses_Opp,crosses_Stp,crosses_Stp%,sweeper_#OPA,sweeper_#OPA/90,sweeper_AvgDist,Matches,Team,Season
0,Iñaki Peña,es ESP,GK,26-068,14.5,18,2,0,1,0,16.6,0.29,-1.4,-0.1,21,75,28.0,511,74,11.0,25.0,77,24.7,31.1,135,3,2.2,89,6.13,23.8,Matches,Barcelona,2024
1,Wojciech Szczęsny,pl POL,GK,35-021,13.0,9,0,0,1,0,9.4,0.36,0.4,0.03,19,54,35.2,353,54,11.9,24.6,45,26.7,30.7,118,6,5.1,43,3.31,20.0,Matches,Barcelona,2024
2,Marc-André ter Stegen,de GER,GK,33-009,6.5,6,1,0,1,0,5.3,0.24,-0.7,-0.11,15,30,50.0,208,37,12.5,26.8,20,20.0,32.0,75,4,5.3,8,1.23,15.0,Matches,Barcelona,2024
3,Thibaut Courtois,be BEL,GK,32-363,28.0,24,3,0,5,1,24.9,0.26,1.9,0.07,58,200,29.0,839,162,18.2,28.2,136,34.6,38.4,333,15,4.5,14,0.5,10.8,Matches,Real Madrid,2024
4,Andriy Lunin,ua UKR,GK,26-087,5.0,7,0,0,0,0,5.4,0.3,-1.6,-0.33,17,35,48.6,133,25,18.8,26.8,32,31.3,34.0,51,2,3.9,9,1.8,14.1,Matches,Real Madrid,2024
5,Fran,es ESP,GK,19-319,1.0,2,0,0,1,0,0.9,0.43,-1.1,-1.14,1,2,50.0,16,3,12.5,24.0,4,0.0,14.8,5,1,20.0,1,1.0,12.0,Matches,Real Madrid,2024
6,Jan Oblak,si SVN,GK,32-122,33.0,27,5,1,2,2,22.3,0.18,-2.7,-0.08,106,269,39.4,606,165,26.1,31.1,264,42.0,37.2,453,25,5.5,24,0.73,13.4,Matches,Atletico Madrid,2024
7,Juan Musso,ar ARG,GK,31-003,1.0,0,0,0,0,0,0.1,0.08,0.1,0.08,0,5,0.0,17,5,17.6,26.6,11,18.2,24.6,10,1,10.0,0,0.0,13.5,Matches,Atletico Madrid,2024
8,Unai Simón,es ESP,GK,27-332,17.0,11,0,0,1,0,12.5,0.22,1.5,0.09,83,231,35.9,434,74,34.3,34.0,98,83.7,61.6,213,15,7.0,23,1.35,15.7,Matches,Athletic Club,2024
9,Julen Agirrezabala,es ESP,GK,24-134,13.4,9,1,2,1,0,10.5,0.27,1.5,0.11,57,178,32.0,341,51,37.5,33.9,66,75.8,54.9,143,20,14.0,17,1.27,14.2,Matches,Athletic Club,2024
10,Alex Padilla,es ESP,GK,21-250,3.6,6,1,0,1,1,4.8,0.26,-0.2,-0.06,27,78,34.6,98,15,58.2,41.5,22,95.5,64.5,57,2,3.5,3,0.84,13.4,Matches,Athletic Club,2024
11,Adrián,es ESP,GK,38-126,15.0,19,1,0,4,0,16.6,0.3,-2.4,-0.16,43,142,30.3,400,71,28.3,31.0,76,38.2,36.5,199,12,6.0,12,0.8,12.0,Matches,Real Betis,2024
12,Rui Silva,pt POR,GK,31-091,15.0,18,3,0,3,1,18.4,0.3,1.4,0.1,45,144,31.3,446,70,26.0,30.8,76,36.8,35.9,194,10,5.2,31,2.07,18.9,Matches,Real Betis,2024
13,Fran Vieites,es ESP,GK,26-002,4.0,5,0,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,90,16,40.0,38.0,29,62.1,46.4,65,6,9.2,4,1.0,12.8,Matches,Real Betis,2024
14,Diego Conde,es ESP,GK,26-193,20.8,31,3,1,6,1,24.1,0.25,-5.9,-0.29,60,159,37.7,509,105,23.4,28.5,96,41.7,37.7,309,18,5.8,14,0.67,11.6,Matches,Villarreal,2024
15,Luiz Lúcio Reis Júnior,br BRA,GK,24-115,13.2,16,4,1,0,0,15.7,0.25,-0.3,-0.03,50,148,33.8,320,73,32.2,31.4,76,59.2,46.9,199,13,6.5,20,1.52,13.7,Matches,Villarreal,2024
16,Vicente Guaita,es ESP,GK,38-119,30.0,43,2,0,6,0,35.5,0.31,-7.5,-0.25,55,182,30.2,651,177,17.5,26.9,199,34.2,34.1,371,23,6.2,40,1.33,14.1,Matches,Celta Vigo,2024
17,Iván Villar,es ESP,GK,27-304,4.0,9,0,0,3,2,8.2,0.4,1.2,0.3,3,22,13.6,82,15,14.6,24.0,35,28.6,26.9,65,1,1.5,5,1.25,14.8,Matches,Celta Vigo,2024
18,Augusto Batalla,ar ARG,GK,29-009,28.0,36,4,0,6,1,35.0,0.25,0.0,0.0,160,468,34.2,865,114,42.2,38.1,167,61.7,50.2,399,28,7.0,30,1.07,14.1,Matches,Rayo Vallecano,2024
19,Cárdenas,es ESP,GK,28-042,6.0,6,0,0,0,0,5.6,0.29,-0.4,-0.06,26,106,24.5,132,21,56.8,44.3,46,67.4,51.9,79,2,2.5,1,0.17,10.2,Matches,Rayo Vallecano,2024
