,Player,Nation,Pos,Age,90s,performance_CrdY,performance_CrdR,performance_2CrdY,performance_Fls,performance_Fld,performance_Off,performance_Crs,performance_Int,performance_TklW,performance_PKwon,performance_PKcon,performance_OG,performance_Recov,aerial_duels_Won,aerial_duels_Lost,aerial_duels_Won%,Matches,Team,Season
0,Pedri,es ESP,MF,22-165,28.6,2,0,0,9,46,2,53,26,30,0,0,0,232,6,6,50.0,Matches,Barcelona,2024
1,Jules Koundé,fr FRA,DF,26-178,28.9,4,0,0,22,19,7,63,20,43,0,0,0,107,30,23,56.6,Matches,Barcelona,2024
2,Robert Lewandowski,pl POL,FW,36-261,27.1,1,0,0,28,34,16,5,3,4,0,0,0,44,34,39,46.6,Matches,Barcelona,2024
3,Raphinha,br BRA,"FW,MF",28-146,27.8,4,0,0,9,35,8,195,8,21,2,0,0,84,9,5,64.3,Matches,Barcelona,2024
4,Lamine Yamal,es ESP,FW,17-300,27.7,3,0,0,26,54,12,90,13,26,2,0,0,105,1,1,50.0,Matches,Barcelona,2024
5,Pau Cubarsí,es ESP,DF,18-107,26.0,3,0,0,18,8,0,2,13,18,0,1,0,89,58,35,62.4,Matches,Barcelona,2024
6,Iñigo Martínez,es ESP,DF,33-357,25.7,4,0,0,15,26,0,6,18,13,1,0,0,112,57,31,64.8,Matches,Barcelona,2024
7,Alejandro Balde,es ESP,DF,21-203,23.1,2,0,0,14,35,0,65,5,10,0,0,0,108,14,8,63.6,Matches,Barcelona,2024
8,Marc Casado,es ESP,MF,21-237,17.9,4,1,1,26,36,0,9,22,25,0,0,0,90,8,23,25.8,Matches,Barcelona,2024
9,Iñaki Peña,es ESP,GK,26-068,14.5,1,0,0,0,0,0,0,0,0,0,0,0,63,1,0,100.0,Matches,Barcelona,2024
10,Wojciech Szczęsny,pl POL,GK,35-021,13.0,0,0,0,0,1,0,0,0,1,0,0,0,44,0,0,,Matches,Barcelona,2024
11,Gavi,es ESP,"MF,FW",20-277,9.9,4,0,0,32,19,1,9,10,15,0,0,0,50,19,24,44.2,Matches,Barcelona,2024
12,Dani Olmo,es ESP,"MF,FW",27-002,11.4,0,0,0,17,20,1,16,3,9,2,0,0,42,9,7,56.3,Matches,Barcelona,2024
13,Ferrán Torres,es ESP,"FW,MF",25-069,11.3,1,1,0,5,13,6,17,4,4,0,0,0,26,5,8,38.5,Matches,Barcelona,2024
14,Eric García,es ESP,"MF,DF",24-120,13.7,3,0,0,17,5,0,3,10,16,0,0,0,47,26,20,56.5,Matches,Barcelona,2024
15,Fermin López,es ESP,"MF,FW",21-363,11.5,3,1,0,22,16,5,35,4,14,0,0,0,60,8,17,32.0,Matches,Barcelona,2024
16,Ronald Araújo,uy URU,DF,26-063,7.1,2,0,0,9,3,0,0,8,9,0,0,0,23,30,18,62.5,Matches,Barcelona,2024
17,Gerard Martín,es ESP,DF,23-128,9.8,2,0,0,11,7,0,32,8,9,0,0,0,35,14,5,73.7,Matches,Barcelona,2024
18,Frenkie de Jong,nl NED,MF,27-362,10.1,3,0,0,11,16,0,5,5,9,0,1,0,45,7,5,58.3,Matches,Barcelona,2024
19,Marc-André ter Stegen,de GER,GK,33-009,6.5,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,100.0,Matches,Barcelona,2024
20,Héctor Fort,es ESP,DF,18-280,6.0,2,0,0,5,1,0,11,6,8,0,0,0,29,3,6,33.3,Matches,Barcelona,2024
21,Pablo Torre,es ESP,"MF,FW",22-036,3.4,0,0,0,4,8,1,13,3,4,0,0,0,15,1,6,14.3,Matches,Barcelona,2024
22,Marc Bernal,es ESP,MF,17-348,2.7,2,0,0,4,3,0,0,1,6,0,0,0,9,1,6,14.3,Matches,Barcelona,2024
23,Ansu Fati,es ESP,FW,22-190,2.6,1,0,0,2,2,2,0,1,1,0,0,0,7,2,7,22.2,Matches,Barcelona,2024
24,Pau Victor Delgado,es ESP,FW,23-164,3.3,2,0,0,7,3,0,2,2,1,0,0,0,14,3,1,75.0,Matches,Barcelona,2024
25,Sergi Dominguez,es ESP,DF,20-038,1.9,1,0,0,2,0,0,0,3,1,0,1,0,8,1,3,25.0,Matches,Barcelona,2024
26,Andreas Christensen,dk DEN,DF,29-029,1.3,2,0,0,2,0,0,0,0,1,0,0,0,7,6,2,75.0,Matches,Barcelona,2024
27,Daniel Rodriguez,es ESP,FW,19-273,0.4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,Matches,Barcelona,2024
28,Federico Valverde,uy URU,"MF,DF",26-291,29.7,3,0,0,9,14,1,24,51,26,0,0,0,150,25,13,65.8,Matches,Real Madrid,2024
29,Kylian Mbappé,fr FRA,FW,26-140,28.3,3,1,0,24,35,39,29,1,5,2,0,0,35,4,5,44.4,Matches,Real Madrid,2024
30,Thibaut Courtois,be BEL,GK,32-363,28.0,1,0,0,0,1,0,0,1,0,0,0,1,45,8,0,100.0,Matches,Real Madrid,2024
31,Aurélien Tchouaméni,fr FRA,"DF,MF",25-102,27.3,4,0,0,25,22,0,10,43,20,0,1,0,131,69,24,74.2,Matches,Real Madrid,2024
32,Antonio Rüdiger,de GER,DF,32-067,25.5,3,0,0,15,15,2,4,9,13,2,1,0,102,35,24,59.3,Matches,Real Madrid,2024
33,Jude Bellingham,eng ENG,MF,21-314,24.6,4,1,0,29,59,6,14,25,31,1,0,0,84,25,26,49.0,Matches,Real Madrid,2024
34,Vinicius Júnior,br BRA,FW,24-301,23.7,8,1,0,27,67,10,56,3,10,2,0,0,68,1,7,12.5,Matches,Real Madrid,2024
35,Lucas Vázquez,es ESP,DF,33-312,22.4,4,0,0,27,31,3,61,17,32,0,0,0,74,6,13,31.6,Matches,Real Madrid,2024
36,Rodrygo,br BRA,"FW,MF",24-120,21.4,0,0,0,8,37,1,81,11,14,1,0,0,71,7,16,30.4,Matches,Real Madrid,2024
37,Fran Garcia,es ESP,DF,25-268,20.3,0,0,0,11,16,3,46,23,26,0,0,0,93,15,19,44.1,Matches,Real Madrid,2024
38,Raúl Asencio,es ESP,DF,22-085,15.9,2,0,0,7,18,1,0,12,13,0,0,0,64,27,12,69.2,Matches,Real Madrid,2024
39,Brahim Díaz,ma MAR,"FW,MF",25-279,14.3,0,0,0,12,30,0,8,4,18,0,0,0,50,3,13,18.8,Matches,Real Madrid,2024
40,Luka Modrić,hr CRO,MF,39-242,16.8,7,0,0,19,15,2,87,23,18,0,0,0,90,5,11,31.3,Matches,Real Madrid,2024
41,Ferland Mendy,fr FRA,DF,29-335,11.2,1,1,0,5,7,0,1,9,14,0,0,0,36,4,2,66.7,Matches,Real Madrid,2024
42,Dani Ceballos,es ESP,MF,28-275,10.8,4,0,0,12,25,0,11,13,19,0,0,0,69,2,1,66.7,Matches,Real Madrid,2024
43,Eduardo Camavinga,fr FRA,"MF,DF",22-180,12.2,2,0,0,21,31,1,2,18,26,0,1,0,90,20,18,52.6,Matches,Real Madrid,2024
44,Éder Militão,br BRA,DF,27-111,10.4,2,0,0,18,8,0,2,12,17,0,0,0,44,21,12,63.6,Matches,Real Madrid,2024
45,Arda Güler,tr TUR,"MF,FW",20-073,10.5,1,0,0,13,28,4,36,5,11,1,0,0,39,6,8,42.9,Matches,Real Madrid,2024
46,Dani Carvajal,es ESP,DF,33-118,6.8,1,0,0,3,6,0,14,10,8,0,0,0,21,7,5,58.3,Matches,Real Madrid,2024
47,Andriy Lunin,ua UKR,GK,26-087,5.0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,0,100.0,Matches,Real Madrid,2024
48,David Alaba,at AUT,DF,32-319,3.5,1,0,0,2,0,0,3,6,0,0,0,0,8,4,1,80.0,Matches,Real Madrid,2024
49,Endrick,br BRA,FW,18-292,2.5,1,0,0,9,8,2,0,3,1,1,0,0,4,5,4,55.6,Matches,Real Madrid,2024
50,Fran,es ESP,GK,19-319,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,Real Madrid,2024
51,Jacobo Ramón,es ESP,DF,20-123,0.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,Real Madrid,2024
52,Jesús Vallejo,es ESP,DF,28-124,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches,Real Madrid,2024
53,Chema,es ESP,MF,20-014,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches,Real Madrid,2024
54,Lorenzo Aguado,es ESP,DF,22-232,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Real Madrid,2024
55,Daniel Yáñez,es ESP,FW,18-042,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches,Real Madrid,2024
56,Jan Oblak,si SVN,GK,32-122,33.0,0,0,0,0,2,0,0,0,0,0,0,0,24,3,0,100.0,Matches,Atletico Madrid,2024
57,Antoine Griezmann,fr FRA,"FW,MF",34-049,26.0,2,0,0,11,24,14,135,6,17,0,0,0,83,21,22,48.8,Matches,Atletico Madrid,2024
58,Julián Álvarez,ar ARG,FW,25-098,25.2,5,0,0,26,7,7,60,0,16,0,0,0,69,13,31,29.5,Matches,Atletico Madrid,2024
59,Pablo Barrios,es ESP,MF,21-328,24.6,4,1,0,27,26,0,22,33,25,0,0,0,125,34,21,61.8,Matches,Atletico Madrid,2024
60,Marcos Llorente,es ESP,"DF,MF",30-099,23.9,0,1,0,18,23,3,57,22,45,1,0,0,107,13,14,48.1,Matches,Atletico Madrid,2024
61,Giuliano Simeone,ar ARG,MF,22-142,19.0,4,0,0,20,37,7,43,12,12,1,0,0,70,11,23,32.4,Matches,Atletico Madrid,2024
62,Robin Le Normand,es ESP,DF,28-179,20.9,8,0,0,34,22,3,1,8,16,0,1,0,60,52,37,58.4,Matches,Atletico Madrid,2024
63,Clément Lenglet,fr FRA,DF,29-326,19.9,9,0,0,27,19,2,4,20,14,0,2,0,72,36,37,49.3,Matches,Atletico Madrid,2024
64,Rodrigo De Paul,ar ARG,MF,30-350,20.0,6,0,0,15,38,0,56,5,23,0,0,0,110,4,7,36.4,Matches,Atletico Madrid,2024
65,Conor Gallagher,eng ENG,MF,25-092,17.2,2,0,0,27,38,1,13,19,30,1,0,0,102,9,20,31.0,Matches,Atletico Madrid,2024
66,José María Giménez,uy URU,DF,30-109,20.2,5,0,0,12,12,0,0,25,14,0,0,1,72,35,33,51.5,Matches,Atletico Madrid,2024
67,Javi Galán,es ESP,DF,30-171,17.3,8,0,0,34,32,4,50,9,29,0,1,0,63,24,22,52.2,Matches,Atletico Madrid,2024
68,Samuel Lino,br BRA,"MF,DF",25-137,14.4,3,0,0,13,26,2,35,7,13,1,0,0,74,11,11,50.0,Matches,Atletico Madrid,2024
69,Koke,es ESP,MF,33-121,17.9,4,0,0,20,13,0,13,18,22,0,0,1,108,8,9,47.1,Matches,Atletico Madrid,2024
70,Nahuel Molina,ar ARG,DF,27-033,16.0,0,0,0,11,5,1,50,11,17,0,0,0,60,10,12,45.5,Matches,Atletico Madrid,2024
71,Alexander Sørloth,no NOR,FW,29-155,14.8,4,0,0,23,12,5,4,1,4,0,0,0,38,90,44,67.2,Matches,Atletico Madrid,2024
72,Reinildo Mandava,mz MOZ,DF,31-108,10.5,4,0,0,19,18,1,8,16,11,0,1,0,52,10,14,41.7,Matches,Atletico Madrid,2024
73,César Azpilicueta,es ESP,DF,35-254,8.2,1,0,0,7,5,2,3,3,12,0,0,0,22,11,12,47.8,Matches,Atletico Madrid,2024
74,Axel Witsel,be BEL,DF,36-117,8.5,1,0,0,4,3,1,0,9,12,0,0,0,30,23,14,62.2,Matches,Atletico Madrid,2024
75,Rodrigo Riquelme,es ESP,"MF,DF",25-037,5.7,0,0,0,8,8,4,34,2,5,0,0,0,21,3,3,50.0,Matches,Atletico Madrid,2024
76,Ángel Correa,ar ARG,"FW,MF",30-061,8.1,3,1,0,14,10,4,20,4,2,0,0,0,36,1,8,11.1,Matches,Atletico Madrid,2024
77,Juan Musso,ar ARG,GK,31-003,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches,Atletico Madrid,2024
78,Thomas Lemar,fr FRA,MF,29-178,0.7,0,0,0,1,2,0,2,0,1,0,0,0,3,0,1,0.0,Matches,Atletico Madrid,2024
79,Adrian Niño,es ESP,FW,20-324,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,Atletico Madrid,2024
80,Iñaki Williams,gh GHA,FW,30-328,29.0,1,0,0,21,39,16,114,12,10,1,0,0,87,30,20,60.0,Matches,Athletic Club,2024
81,Daniel Vivian,es ESP,DF,25-298,25.7,3,0,0,27,16,1,8,38,23,0,1,0,149,32,29,52.5,Matches,Athletic Club,2024
82,Álex Berenguer,es ESP,"FW,MF",29-309,23.0,5,0,0,29,29,4,161,9,13,2,0,0,100,23,47,32.9,Matches,Athletic Club,2024
83,Mikel Jauregizar,es ESP,MF,21-178,21.8,4,1,0,40,36,0,26,26,43,1,0,0,129,29,34,46.0,Matches,Athletic Club,2024
