,Player,Nation,Pos,Age,MP,playing_time_Starts,playing_time_Min,playing_time_90s,performance_Gls,performance_Ast,performance_G+A,performance_G-PK,performance_PK,performance_PKatt,performance_CrdY,performance_CrdR,expected_xG,expected_npxG,expected_xAG,expected_npxG+xAG,progression_PrgC,progression_PrgP,progression_PrgR,per_90_minutes_Gls,per_90_minutes_Ast,per_90_minutes_G+A,per_90_minutes_G-PK,per_90_minutes_G+A-PK,per_90_minutes_xG,per_90_minutes_xAG,per_90_minutes_xG+xAG,per_90_minutes_npxG,per_90_minutes_npxG+xAG,Matches,Team,Season,playing_time_MP
0,Pedri,es ESP,MF,22-165,33.0,31,2574.0,28.6,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,2.2,2.2,6.8,9.0,81.0,318.0,119.0,0.14,0.14,0.28,0.14,0.28,0.08,0.24,0.31,0.08,0.31,Matches,Barcelona,2024,
1,Jules Koundé,fr FRA,DF,26-178,32.0,29,2605.0,28.9,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.8,1.8,3.9,5.7,44.0,165.0,190.0,0.07,0.1,0.17,0.07,0.17,0.06,0.13,0.2,0.06,0.2,Matches,Barcelona,2024,
2,Robert Lewandowski,pl POL,FW,36-261,31.0,29,2442.0,27.1,25.0,2.0,27.0,22.0,3.0,4.0,1.0,0.0,24.4,21.3,2.3,23.6,25.0,48.0,150.0,0.92,0.07,1.0,0.81,0.88,0.9,0.09,0.99,0.78,0.87,Matches,Barcelona,2024,
3,Raphinha,br BRA,"FW,MF",28-146,32.0,28,2506.0,27.8,16.0,9.0,25.0,14.0,2.0,2.0,4.0,0.0,16.7,15.1,11.8,27.0,86.0,133.0,307.0,0.57,0.32,0.9,0.5,0.83,0.6,0.42,1.03,0.54,0.97,Matches,Barcelona,2024,
4,Lamine Yamal,es ESP,FW,17-300,31.0,27,2496.0,27.7,6.0,12.0,18.0,6.0,0.0,0.0,3.0,0.0,8.7,8.7,12.4,21.1,156.0,142.0,397.0,0.22,0.43,0.65,0.22,0.65,0.31,0.45,0.76,0.31,0.76,Matches,Barcelona,2024,
5,Pau Cubarsí,es ESP,DF,18-107,31.0,26,2342.0,26.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,1.6,2.3,25.0,186.0,6.0,0.0,0.12,0.12,0.0,0.12,0.03,0.06,0.09,0.03,0.09,Matches,Barcelona,2024,
6,Iñigo Martínez,es ESP,DF,33-357,26.0,26,2310.0,25.7,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,2.6,3.1,66.0,249.0,11.0,0.0,0.16,0.16,0.0,0.16,0.02,0.1,0.12,0.02,0.12,Matches,Barcelona,2024,
7,Alejandro Balde,es ESP,DF,21-203,28.0,25,2080.0,23.1,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,3.4,3.9,98.0,86.0,231.0,0.0,0.17,0.17,0.0,0.17,0.02,0.15,0.17,0.02,0.17,Matches,Barcelona,2024,
8,Marc Casado,es ESP,MF,21-237,23.0,20,1611.0,17.9,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,1.1,1.1,1.4,2.4,12.0,107.0,24.0,0.06,0.17,0.22,0.06,0.22,0.06,0.08,0.13,0.06,0.13,Matches,Barcelona,2024,
9,Iñaki Peña,es ESP,GK,26-068,15.0,14,1306.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona,2024,
10,Wojciech Szczęsny,pl POL,GK,35-021,13.0,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona,2024,
11,Gavi,es ESP,"MF,FW",20-277,22.0,12,895.0,9.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,1.5,2.3,11.0,64.0,38.0,0.1,0.1,0.2,0.1,0.2,0.08,0.15,0.23,0.08,0.23,Matches,Barcelona,2024,
12,Dani Olmo,es ESP,"MF,FW",27-002,21.0,11,1027.0,11.4,9.0,2.0,11.0,8.0,1.0,1.0,0.0,0.0,5.6,4.8,2.8,7.6,27.0,69.0,85.0,0.79,0.18,0.96,0.7,0.88,0.49,0.24,0.73,0.42,0.66,Matches,Barcelona,2024,
13,Ferrán Torres,es ESP,"FW,MF",25-069,26.0,11,1018.0,11.3,10.0,3.0,13.0,10.0,0.0,0.0,1.0,1.0,7.1,7.1,2.0,9.1,23.0,35.0,96.0,0.88,0.27,1.15,0.88,1.15,0.62,0.18,0.8,0.62,0.8,Matches,Barcelona,2024,
14,Eric García,es ESP,"MF,DF",24-120,25.0,10,1236.0,13.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.8,1.8,0.5,2.3,16.0,89.0,12.0,0.07,0.15,0.22,0.07,0.22,0.13,0.04,0.17,0.13,0.17,Matches,Barcelona,2024,
15,Fermin López,es ESP,"MF,FW",21-363,24.0,10,1032.0,11.5,4.0,4.0,8.0,4.0,0.0,0.0,3.0,1.0,4.8,4.8,2.9,7.7,24.0,63.0,84.0,0.35,0.35,0.7,0.35,0.7,0.42,0.25,0.67,0.42,0.67,Matches,Barcelona,2024,
16,Ronald Araújo,uy URU,DF,26-063,10.0,9,641.0,7.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.4,1.4,6.0,43.0,3.0,0.14,0.14,0.28,0.14,0.28,0.13,0.06,0.19,0.13,0.19,Matches,Barcelona,2024,
17,Gerard Martín,es ESP,DF,23-128,24.0,8,882.0,9.8,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,1.1,1.5,9.0,34.0,107.0,0.1,0.31,0.41,0.1,0.41,0.04,0.12,0.16,0.04,0.16,Matches,Barcelona,2024,
18,Frenkie de Jong,nl NED,MF,27-362,22.0,7,908.0,10.1,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.6,0.6,1.9,2.5,29.0,91.0,19.0,0.2,0.2,0.4,0.2,0.4,0.06,0.19,0.25,0.06,0.25,Matches,Barcelona,2024,
19,Marc-André ter Stegen,de GER,GK,33-009,7.0,7,584.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona,2024,
20,Héctor Fort,es ESP,DF,18-280,14.0,5,541.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.8,1.0,13.0,24.0,33.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.17,0.04,0.17,Matches,Barcelona,2024,
21,Pablo Torre,es ESP,"MF,FW",22-036,10.0,4,310.0,3.4,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.1,5.0,17.0,20.0,0.87,0.29,1.16,0.87,1.16,0.11,0.23,0.33,0.11,0.33,Matches,Barcelona,2024,
22,Marc Bernal,es ESP,MF,17-348,3.0,3,242.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches,Barcelona,2024,
23,Ansu Fati,es ESP,FW,22-190,6.0,3,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.1,7.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.38,0.06,0.44,0.38,0.44,Matches,Barcelona,2024,
24,Pau Victor Delgado,es ESP,FW,23-164,19.0,2,300.0,3.3,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,0.8,3.9,6.0,10.0,28.0,0.6,0.3,0.9,0.6,0.9,0.9,0.25,1.15,0.9,1.15,Matches,Barcelona,2024,
25,Sergi Dominguez,es ESP,DF,20-038,3.0,2,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona,2024,
26,Andreas Christensen,dk DEN,DF,29-029,2.0,1,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona,2024,
27,Daniel Rodriguez,es ESP,FW,19-273,1.0,1,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Barcelona,2024,
28,Ander Astralaga,es ESP,GK,21-067,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Barcelona,2024,
29,Álvaro Cortés,es ESP,DF,19-357,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Barcelona,2024,
30,Andres Cuenca,es ESP,DF,17-332,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Barcelona,2024,
31,Noah Darvich,de GER,MF,18-226,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Barcelona,2024,
32,Landry Farré,es ESP,DF,18-128,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Barcelona,2024,
33,Guillermo Fernandez,es ESP,MF,16-325,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Barcelona,2024,
34,Toni Fernández,es ESP,MF,16-328,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Barcelona,2024,
35,Diego Kochen,us USA,GK,19-051,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Barcelona,2024,
36,Alexis Olmedo,es ESP,DF,19-128,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Barcelona,2024,
37,Álex Valle,es ESP,DF,21-014,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Barcelona,2024,
38,Áron Yaakobishvili,hu HUN,GK,19-064,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Barcelona,2024,
39,Federico Valverde,uy URU,"MF,DF",26-291,,30,2672.0,29.7,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,2.3,2.3,3.0,5.4,55.0,199.0,66.0,0.2,0.13,0.34,0.2,0.34,0.08,0.1,0.18,0.08,0.18,Matches,Real Madrid,2024,32.0
40,Kylian Mbappé,fr FRA,FW,26-140,,30,2547.0,28.3,24.0,3.0,27.0,18.0,6.0,7.0,3.0,1.0,20.5,15.0,6.8,21.8,127.0,119.0,334.0,0.85,0.11,0.95,0.64,0.74,0.73,0.24,0.96,0.53,0.77,Matches,Real Madrid,2024,30.0
41,Thibaut Courtois,be BEL,GK,32-363,,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real Madrid,2024,28.0
42,Aurélien Tchouaméni,fr FRA,"DF,MF",25-102,,28,2454.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.5,1.5,0.6,2.0,19.0,150.0,13.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches,Real Madrid,2024,29.0
