,Player,Nation,Pos,Age,90s,touches_Touches,touches_Def Pen,touches_Def 3rd,touches_Mid 3rd,touches_Att 3rd,touches_Att Pen,touches_Live,take-ons_Att,take-ons_Succ,take-ons_Succ%,take-ons_Tkld,take-ons_Tkld%,carries_Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,receiving_Rec,receiving_PrgR,Matches,Team,Season
0,Pedri,es ESP,MF,22-165,28.6,2659,33,237,1588,861,47,2659,58,37,63.8,20,34.5,1725,9568,4706,81,90,6,44,31,2043,119,Matches,Barcelona,2024
1,Jules Koundé,fr FRA,DF,26-178,28.9,2453,79,567,1194,706,79,2453,50,22,44.0,27,54.0,1287,4667,2501,44,42,7,41,13,1625,190,Matches,Barcelona,2024
2,Robert Lewandowski,pl POL,FW,36-261,27.1,788,30,57,297,441,166,784,31,19,61.3,11,35.5,436,1657,547,25,11,14,70,42,621,150,Matches,Barcelona,2024
3,Raphinha,br BRA,"FW,MF",28-146,27.8,1656,30,102,592,986,161,1654,98,49,50.0,42,42.9,898,5050,2569,86,58,42,48,28,1157,307,Matches,Barcelona,2024
4,Lamine Yamal,es ESP,FW,17-300,27.7,1776,8,87,559,1166,204,1776,275,138,50.2,111,40.4,1249,8729,4587,156,83,85,91,43,1452,397,Matches,Barcelona,2024
5,Pau Cubarsí,es ESP,DF,18-107,26.0,2615,175,958,1571,91,16,2615,7,6,85.7,1,14.3,1717,8487,4778,25,15,0,6,1,2065,6,Matches,Barcelona,2024
6,Iñigo Martínez,es ESP,DF,33-357,25.7,2514,143,843,1536,143,24,2514,3,3,100.0,0,0.0,1616,9692,6966,66,51,0,10,3,1900,11,Matches,Barcelona,2024
7,Alejandro Balde,es ESP,DF,21-203,23.1,1548,35,277,751,545,40,1548,105,42,40.0,43,41.0,967,6142,3207,98,64,12,42,26,1108,231,Matches,Barcelona,2024
8,Marc Casado,es ESP,MF,21-237,17.9,1536,25,223,1040,276,9,1536,9,4,44.4,4,44.4,870,3523,1540,12,22,0,17,9,1172,24,Matches,Barcelona,2024
9,Iñaki Peña,es ESP,GK,26-068,14.5,624,435,608,16,0,0,624,0,0,,0,,371,1656,939,0,0,0,0,0,338,0,Matches,Barcelona,2024
10,Wojciech Szczęsny,pl POL,GK,35-021,13.0,429,326,420,9,0,0,429,1,1,100.0,0,0.0,255,1005,448,0,0,0,0,0,248,0,Matches,Barcelona,2024
11,Gavi,es ESP,"MF,FW",20-277,9.9,736,8,69,461,211,28,736,16,7,43.8,5,31.3,428,1825,939,11,16,1,17,8,537,38,Matches,Barcelona,2024
