,Player,Nation,Pos,Age,90s,sca_SCA,sca_SCA90,sca_types_PassLive,sca_types_PassDead,sca_types_TO,sca_types_Sh,sca_types_Fld,sca_types_Def,gca_GCA,gca_GCA90,gca_types_PassLive,gca_types_PassDead,gca_types_TO,gca_types_Sh,gca_types_Fld,gca_types_Def,Matches,Team,Season
0,David Raya,es ESP,GK,29-236,35.0,4,0.11,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,Arsenal,2024
1,William Saliba,fr FRA,DF,24-046,32.3,26,0.81,24,0,0,1,0,1,1,0.03,1,0,0,0,0,0,Matches,Arsenal,2024
2,Declan Rice,eng ENG,MF,26-115,29.4,106,3.61,57,33,4,5,5,2,10,0.34,6,2,1,1,0,0,Matches,Arsenal,2024
3,Thomas Partey,gh GHA,"MF,DF",31-330,28.1,58,2.07,48,2,1,2,1,4,13,0.46,8,2,0,1,1,1,Matches,Arsenal,2024
4,Gabriel Magalhães,br BRA,DF,27-141,26.3,35,1.33,31,0,0,3,1,0,6,0.23,4,0,0,1,1,0,Matches,Arsenal,2024
5,Jurriën Timber,nl NED,DF,23-326,26.9,52,1.94,46,1,3,0,1,1,9,0.34,8,0,1,0,0,0,Matches,Arsenal,2024
6,Leandro Trossard,be BEL,FW,30-156,26.2,80,3.06,63,2,5,5,4,1,6,0.23,6,0,0,0,0,0,Matches,Arsenal,2024
7,Martin Ødegaard,no NOR,MF,26-143,23.7,115,4.86,95,12,2,4,2,0,14,0.59,12,2,0,0,0,0,Matches,Arsenal,2024
8,Gabriel Martinelli,br BRA,"FW,MF",23-325,22.7,66,2.91,50,1,8,4,3,0,6,0.26,3,0,1,1,1,0,Matches,Arsenal,2024
9,Kai Havertz,de GER,"FW,MF",25-332,20.4,41,2.01,34,0,1,6,0,0,3,0.15,2,0,0,1,0,0,Matches,Arsenal,2024
10,Bukayo Saka,eng ENG,"FW,MF",23-246,17.1,102,5.97,61,19,9,9,4,0,22,1.29,13,5,2,1,1,0,Matches,Arsenal,2024
11,Mikel Merino,es ESP,"MF,FW",28-321,15.8,39,2.48,33,0,0,5,1,0,4,0.25,3,0,0,1,0,0,Matches,Arsenal,2024
12,Myles Lewis-Skelly,eng ENG,DF,18-225,13.0,24,1.85,18,0,1,0,5,0,0,0.0,0,0,0,0,0,0,Matches,Arsenal,2024
13,Riccardo Calafiori,it ITA,DF,22-355,10.3,13,1.26,11,0,1,1,0,0,2,0.19,2,0,0,0,0,0,Matches,Arsenal,2024
14,Ben White,eng ENG,DF,27-213,10.5,16,1.53,16,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches,Arsenal,2024
15,Ethan Nwaneri,eng ENG,"FW,MF",18-049,9.1,22,2.41,12,4,3,2,1,0,3,0.33,3,0,0,0,0,0,Matches,Arsenal,2024
16,Jorginho,it ITA,MF,33-140,7.8,12,1.55,10,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches,Arsenal,2024
17,Jakub Kiwior,pl POL,DF,25-083,9.5,6,0.63,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Arsenal,2024
18,Gabriel Jesus,br BRA,FW,28-036,6.8,18,2.66,10,0,1,5,1,1,4,0.59,1,0,0,3,0,0,Matches,Arsenal,2024
19,Raheem Sterling,eng ENG,"FW,MF",30-152,4.9,18,3.71,14,0,2,2,0,0,3,0.62,3,0,0,0,0,0,Matches,Arsenal,2024
