,Player,Nation,Pos,Age,90s,goals_GA,goals_PKA,goals_FK,goals_CK,goals_OG,expected_PSxG,expected_PSxG/SoT,expected_PSxG+/-,expected_/90,launched_Cmp,launched_Att,launched_Cmp%,passes_Att (GK),passes_Thr,passes_Launch%,passes_AvgLen,goal_kicks_Att,goal_kicks_Launch%,goal_kicks_AvgLen,crosses_Opp,crosses_Stp,crosses_Stp%,sweeper_#OPA,sweeper_#OPA/90,sweeper_AvgDist,Matches,Team,Season
0,David Raya,es ESP,GK,29-236,35.0,31,3,2,7,0,30.2,0.26,-0.8,-0.02,136,430,31.6,1175,161,29.0,29.4,134,66.4,48.4,368,47,12.8,61,1.74,17.3,Matches,Arsenal,2024
1,Emiliano Martínez,ar ARG,GK,32-249,33.0,45,1,1,2,0,44.2,0.33,-0.8,-0.02,150,381,39.4,1117,121,25.6,30.1,163,58.3,45.3,462,49,10.6,33,1.0,14.2,Matches,Aston Villa,2024
2,Robin Olsen,se SWE,GK,35-121,2.0,4,0,0,0,0,4.2,0.47,0.2,0.1,10,31,32.3,64,1,34.4,32.3,12,75.0,56.1,32,3,9.4,0,0.0,8.6,Matches,Aston Villa,2024
3,Kepa Arrizabalaga,es ESP,GK,30-218,28.0,35,4,0,4,0,38.2,0.28,3.2,0.12,126,349,36.1,746,109,35.1,33.6,183,47.5,39.2,349,19,5.4,51,1.82,16.0,Matches,Bournemouth,2024
4,Mark Travers,ie IRL,GK,25-356,5.0,5,0,1,1,0,9.5,0.38,4.5,0.89,33,73,45.2,103,29,41.7,36.3,39,76.9,55.8,63,1,1.6,5,1.0,12.9,Matches,Bournemouth,2024
5,Neto,br BRA,GK,35-294,2.0,2,0,0,0,0,4.3,0.35,2.3,1.17,9,27,33.3,46,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.5,12.6,Matches,Bournemouth,2024
6,Mark Flekken,nl NED,GK,31-330,33.4,51,1,0,2,2,49.4,0.27,0.4,0.01,235,613,38.3,1407,114,33.9,34.5,192,70.8,53.7,542,44,8.1,33,0.99,11.4,Matches,Brentford,2024
7,Hákon Rafn Valdimarsson,is ISL,GK,23-208,1.6,2,0,0,0,1,0.6,0.14,-0.4,-0.26,15,38,39.5,54,7,42.6,34.9,16,93.8,59.3,16,2,12.5,0,0.0,4.7,Matches,Brentford,2024
8,Bart Verbruggen,nl NED,GK,22-264,33.0,55,8,1,4,2,47.3,0.31,-5.7,-0.17,113,356,31.7,1135,112,26.7,29.5,79,67.1,48.3,384,26,6.8,46,1.39,14.0,Matches,Brighton and Hove Albion,2024
9,Jason Steele,eng ENG,GK,34-264,2.0,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,2,50.0,43.0,22,2,9.1,3,1.5,15.4,Matches,Brighton and Hove Albion,2024
10,Robert Sánchez,es ESP,GK,27-172,29.0,32,4,0,4,0,33.6,0.25,1.6,0.06,86,361,23.8,1053,171,31.4,32.6,70,42.9,38.4,328,40,12.2,51,1.76,14.8,Matches,Chelsea,2024
11,Filip Jørgensen,dk DEN,GK,23-023,6.0,9,1,0,1,0,9.3,0.3,0.3,0.04,7,33,21.2,171,19,18.1,24.1,18,11.1,17.5,53,2,3.8,2,0.33,13.2,Matches,Chelsea,2024
12,Dean Henderson,eng ENG,GK,28-058,35.0,48,1,1,3,3,47.7,0.34,2.7,0.08,145,548,26.5,856,104,47.4,38.6,254,55.9,44.7,502,26,5.2,37,1.06,14.3,Matches,Crystal Palace,2024
13,Jordan Pickford,eng ENG,GK,31-063,35.0,43,0,1,6,0,44.6,0.29,1.6,0.04,280,735,38.1,1236,156,48.6,39.6,216,62.0,48.1,499,26,5.2,56,1.6,15.3,Matches,Everton,2024
14,Bernd Leno,de GER,GK,33-066,35.0,47,2,0,5,2,42.5,0.29,-2.5,-0.07,128,343,37.3,1142,153,23.1,29.0,158,50.0,41.2,467,20,4.3,28,0.8,13.3,Matches,Fulham,2024
15,Arijanet Muric,xk KVX,GK,26-183,18.0,33,3,0,2,0,31.4,0.29,-1.6,-0.09,76,229,33.2,534,94,29.6,30.3,94,75.5,54.6,249,39,15.7,20,1.11,12.2,Matches,Ipswich Town,2024
16,Alex Palmer,eng ENG,GK,28-272,11.0,27,1,0,8,2,23.1,0.37,-1.9,-0.17,68,175,38.9,269,41,41.6,35.8,87,72.4,52.6,225,16,7.1,12,1.09,11.7,Matches,Ipswich Town,2024
17,Christian Walton,eng ENG,GK,29-181,6.0,16,2,0,0,0,15.0,0.41,-1.0,-0.17,38,108,35.2,176,27,45.5,35.2,50,56.0,43.8,105,11,10.5,1,0.17,7.6,Matches,Ipswich Town,2024
18,Mads Hermansen,dk DEN,GK,24-302,26.5,58,3,0,3,3,56.4,0.35,1.4,0.05,114,471,24.2,926,133,39.2,34.6,143,75.5,51.5,419,26,6.2,26,0.98,13.1,Matches,Leicester City,2024
19,Jakub Stolarczyk,pl POL,GK,24-141,7.0,12,0,0,1,0,11.3,0.36,-0.7,-0.1,50,127,39.4,225,27,47.1,33.5,34,61.8,45.0,125,6,4.8,6,0.86,12.2,Matches,Leicester City,2024
20,Danny Ward,wls WAL,GK,31-321,1.5,6,0,0,0,0,2.8,0.28,-3.2,-2.11,10,22,45.5,46,9,37.0,32.0,7,71.4,52.0,11,0,0.0,2,1.33,20.7,Matches,Leicester City,2024
21,Alisson,br BRA,GK,32-219,24.9,23,1,0,2,2,22.1,0.28,1.1,0.04,59,169,34.9,745,105,19.2,26.3,68,38.2,32.9,228,10,4.4,43,1.73,15.6,Matches,Liverpool,2024
22,Caoimhín Kelleher,ie IRL,GK,26-167,10.0,12,0,0,1,0,11.6,0.3,-0.4,-0.04,29,115,25.2,364,49,28.6,29.0,18,61.1,42.8,113,6,5.3,9,0.9,14.0,Matches,Liverpool,2024
