Player,Nation,Pos,Age,90s,performance_CrdY,performance_CrdR,performance_2CrdY,performance_Fls,performance_Fld,performance_Off,performance_Crs,performance_Int,performance_TklW,performance_PKwon,performance_PKcon,performance_OG,performance_Recov,aerial_duels_Won,aerial_duels_Lost,aerial_duels_Won%,Matches,Team,Season
David Raya,es ESP,GK,29-243,36.0,2,0,0,1,9,0,0,2,0,0,1,0,39,10,0,100.0,Matches,Arsenal,2024
William Saliba,fr FRA,DF,24-053,33.3,2,1,0,28,17,1,3,21,37,0,1,0,150,60,35,63.2,Matches,Arsenal,2024
Declan Rice,eng ENG,MF,26-122,29.4,7,1,1,20,16,2,157,25,24,0,0,0,143,31,24,56.4,Matches,Arsenal,2024
Thomas Partey,gh GHA,"MF,DF",31-337,29.1,4,0,0,44,30,1,12,34,51,0,0,0,130,26,22,54.2,Matches,Arsenal,2024
Gabriel Magalhães,br BRA,DF,27-148,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9,Matches,Arsenal,2024
Leandro Trossard,be BEL,FW,30-163,27.0,4,1,1,25,45,6,82,9,19,0,0,0,98,6,22,21.4,Matches,Arsenal,2024
Jurriën Timber,nl NED,DF,23-333,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4,Matches,Arsenal,2024
Martin Ødegaard,no NOR,MF,26-150,24.7,4,0,0,10,23,1,84,5,11,0,0,0,93,8,7,53.3,Matches,Arsenal,2024
Gabriel Martinelli,br BRA,"FW,MF",23-332,23.7,1,0,0,15,20,8,85,4,15,0,0,0,74,15,34,30.6,Matches,Arsenal,2024
Kai Havertz,de GER,"FW,MF",25-339,20.4,4,0,0,36,21,14,11,6,9,0,0,0,39,62,73,45.9,Matches,Arsenal,2024
Bukayo Saka,eng ENG,"FW,MF",23-253,18.1,3,0,0,14,38,6,111,3,13,1,0,0,68,9,19,32.1,Matches,Arsenal,2024
Mikel Merino,es ESP,"MF,FW",28-328,16.6,4,1,1,39,22,7,13,15,26,0,0,0,82,58,55,51.3,Matches,Arsenal,2024
Myles Lewis-Skelly,eng ENG,DF,18-232,14.0,3,2,0,11,43,0,8,6,14,0,1,0,48,8,10,44.4,Matches,Arsenal,2024
Ben White,eng ENG,DF,27-220,11.3,2,0,0,8,5,1,14,16,11,0,0,0,28,15,6,71.4,Matches,Arsenal,2024
Riccardo Calafiori,it ITA,DF,22-362,10.4,4,0,0,16,6,3,11,9,18,0,0,0,30,22,13,62.9,Matches,Arsenal,2024
Ethan Nwaneri,eng ENG,"FW,MF",18-056,9.1,1,0,0,8,5,6,51,2,7,0,0,0,33,4,7,36.4,Matches,Arsenal,2024
Jorginho,it ITA,MF,33-147,7.8,5,0,0,15,17,0,1,7,4,0,0,0,54,1,6,14.3,Matches,Arsenal,2024
