Player,Nation,Pos,Age,90s,Att,pass_types_Live,pass_types_Dead,pass_types_FK,pass_types_TB,pass_types_Sw,pass_types_Crs,pass_types_TI,pass_types_CK,corner_kicks_In,corner_kicks_Out,corner_kicks_Str,outcomes_Cmp,outcomes_Off,outcomes_Blocks,Matches,Team,Season
David Raya,es ESP,GK,29-243,36.0,1362,1131,228,85,0,2,0,0,0,0,0,0,1010,3,0,Matches,Arsenal,2024
William Saliba,fr FRA,DF,24-053,33.3,2529,2478,46,36,1,10,3,4,0,0,0,0,2385,5,4,Matches,Arsenal,2024
Declan Rice,eng ENG,MF,26-122,29.4,1562,1356,201,70,4,17,157,4,102,88,3,0,1304,5,14,Matches,Arsenal,2024
Thomas Partey,gh GHA,"MF,DF",31-337,29.1,1804,1705,93,25,6,2,12,62,0,0,0,0,1574,6,13,Matches,Arsenal,2024
Gabriel Magalhães,br BRA,DF,27-148,26.3,1641,1560,80,51,1,8,9,3,0,0,0,0,1480,1,8,Matches,Arsenal,2024
Leandro Trossard,be BEL,FW,30-163,27.0,897,862,27,5,7,5,82,6,10,9,0,0,665,8,39,Matches,Arsenal,2024
Jurriën Timber,nl NED,DF,23-333,26.9,1395,1188,204,22,2,1,28,182,0,0,0,0,1194,3,25,Matches,Arsenal,2024
Martin Ødegaard,no NOR,MF,26-150,24.7,1435,1311,112,34,25,3,84,12,37,31,0,0,1188,12,25,Matches,Arsenal,2024
Gabriel Martinelli,br BRA,"FW,MF",23-332,23.7,648,630,13,0,5,2,85,10,3,3,0,0,459,5,33,Matches,Arsenal,2024
Kai Havertz,de GER,"FW,MF",25-339,20.4,511,503,6,1,1,0,11,5,0,0,0,0,401,2,11,Matches,Arsenal,2024
Bukayo Saka,eng ENG,"FW,MF",23-253,18.1,675,596,75,7,4,2,111,12,56,52,0,2,511,4,20,Matches,Arsenal,2024
Mikel Merino,es ESP,"MF,FW",28-328,16.6,565,555,5,4,5,1,13,1,0,0,0,0,442,5,12,Matches,Arsenal,2024
Myles Lewis-Skelly,eng ENG,DF,18-232,14.0,711,605,101,17,3,2,8,84,0,0,0,0,648,5,2,Matches,Arsenal,2024
Ben White,eng ENG,DF,27-220,11.3,578,483,93,19,1,7,14,70,0,0,0,0,482,2,6,Matches,Arsenal,2024
Riccardo Calafiori,it ITA,DF,22-362,10.4,527,461,65,7,0,2,11,58,0,0,0,0,450,1,11,Matches,Arsenal,2024
