season,player_club,player_name,games_played,minutes_played,dead_ball_scas_per_90,dead_ball_taken_pc,corner_taken_pc,free_kick_taken_pc,non_gk_dead_ball_pc,dead_ball_sc_pc,dead_ball_gc_pc,team_dead_ball_scas,team_dead_ball_gcas,team_dead_ball_sc_pc,taker_type,dead_ball_success_rate
2024,Arsenal,Declan Rice,25,2250,1.16,0.17,0.428,0.245,0.17,0.453,0.2,64,10,0.086,Starter,0.156
2024,Arsenal,Bukayo Saka,14.4,1296,1.18,0.064,0.258,0.026,0.064,0.266,0.5,64,10,0.086,Starter,0.156
2024,Arsenal,Martin Ødegaard,20.2,1818,0.5,0.09,0.186,0.103,0.09,0.156,0.1,64,10,0.086,Starter,0.156
2024,Aston Villa,Youri Tielemans,28.4,2556,1.06,0.154,0.412,0.207,0.154,0.448,1,67,3,0.103,Starter,0.045
2024,Aston Villa,Lucas Digne,23.9,2151,0.71,0.21,0.305,0.106,0.21,0.254,0,67,3,0.103,Starter,0.045
2024,Aston Villa,Marco Asensio,2.6,234,1.15,0.009,0.048,0.003,0.009,0.045,0,67,3,0.103,Other,0.045
2024,Bournemouth,Lewis Cook,27.6,2484,0.58,0.186,0.349,0.25,0.186,0.296,0.2,54,5,0.064,Starter,0.093
2024,Bournemouth,Marcus Tavernier,16.7,1503,0.72,0.099,0.231,0.107,0.099,0.222,0.6,54,5,0.064,Starter,0.093
2024,Bournemouth,Justin Kluivert,21.5,1935,0.37,0.074,0.161,0.028,0.074,0.148,0,54,5,0.064,Starter,0.093
2024,Bournemouth,Ryan Christie,23.5,2115,0.3,0.056,0.14,0.083,0.056,0.13,0.2,54,5,0.064,Starter,0.093
2024,Brentford,Bryan Mbeumo,29.9,2691,0.5,0.122,0.485,0.173,0.122,0.294,0.286,51,7,0.082,Starter,0.137
2024,Brentford,Mikkel Damsgaard,25,2250,0.44,0.111,0.331,0.099,0.111,0.216,0.429,51,7,0.082,Starter,0.137
2024,Brentford,Mathias Jensen,8.2,737.99999999999989,1.1,0.065,0.096,0.052,0.065,0.176,0.143,51,7,0.082,Starter,0.137
2024,Brentford,Kevin Schade,18.5,1665,0.32,0.051,0,0,0.051,0.118,0,51,7,0.082,Starter,0.137
2024,Brentford,Michael Kayode,0.4,36,5,0.007,0,0,0.007,0.039,0,51,7,0.082,Other,0.137
2024,Brighton,Pervis Estupiñán,19.8,1782,0.66,0.165,0.252,0.046,0.165,0.241,0,54,5,0.075,Starter,0.093
2024,Brighton,Yasin Ayari,17,1530,0.65,0.063,0.19,0.075,0.063,0.204,0.4,54,5,0.075,Starter,0.093
2024,Brighton,Yankuba Minteh,14.1,1269,0.57,0.031,0.109,0.026,0.031,0.148,0,54,5,0.075,Starter,0.093
2024,Brighton,Matt O'Riley,5.4,486.00000000000006,0.93,0.033,0.15,0.026,0.033,0.093,0,54,5,0.075,Other,0.093
2024,Brighton,James Milner,1.9,171,1.05,0.009,0.041,0.012,0.009,0.037,0,54,5,0.075,Other,0.093
2024,Chelsea,Cole Palmer,27.1,2439,0.77,0.154,0.405,0.119,0.154,0.467,0,45,3,0.055,Starter,0.067
2024,Chelsea,Enzo Fernández,23.8,2142,0.55,0.097,0.341,0.122,0.097,0.289,0.667,45,3,0.055,Starter,0.067
2024,Crystal Palace,Eberechi Eze,22.4,2015.9999999999998,1.03,0.154,0.407,0.202,0.154,0.411,0.167,56,6,0.082,Starter,0.107
2024,Crystal Palace,Will Hughes,18.2,1638,0.77,0.085,0.304,0.094,0.085,0.25,0.5,56,6,0.082,Starter,0.107
2024,Crystal Palace,Adam Wharton,10.3,927.00000000000011,0.58,0.028,0.126,0.036,0.028,0.107,0,56,6,0.082,Starter,0.107
2024,Everton,Dwight McNeil,12.7,1143,1.42,0.094,0.31,0.164,0.094,0.367,0.333,49,3,0.087,Starter,0.061
2024,Everton,Jesper Lindstrøm,13.8,1242,0.51,0.045,0.198,0.064,0.045,0.143,0,49,3,0.087,Starter,0.061
2024,Everton,James Garner,10.4,936,0.67,0.069,0.111,0.047,0.069,0.143,0.333,49,3,0.087,Starter,0.061
2024,Everton,Ashley Young,17.4,1565.9999999999998,0.34,0.203,0.103,0.099,0.203,0.122,0,49,3,0.087,Starter,0.061
2024,Everton,Jack Harrison,17.5,1575,0.34,0.044,0.175,0.07,0.044,0.122,0,49,3,0.087,Starter,0.061
2024,Fulham,Andreas Pereira,17.8,1602,1.97,0.147,0.544,0.139,0.147,0.565,0.667,62,3,0.084,Starter,0.048
